context_length,alpha,beta,adapt,pretrain,bpc,time_microsec
1,49,77,0,1,6.23282,52948325
1,49,77,1,1,6.23884,52894819
2,49,77,0,1,5.56322,65844544
2,49,77,1,1,5.58065,64060111
3,49,77,0,1,4.0849,73754528
3,49,77,1,1,4.12989,72815634
4,49,77,0,1,2.87665,79087665
4,49,77,1,1,2.87293,79903353
5,49,77,0,1,2.30302,84833924
5,49,77,1,1,2.25952,85408589
6,49,77,0,1,2.09363,89440783
6,49,77,1,1,2.0196,91267008
7,49,77,0,1,2.05507,93029795
7,49,77,1,1,1.96826,94012008
8,49,77,0,1,2.09182,96084382
8,49,77,1,1,1.99334,97032998
9,49,77,0,1,2.14511,97889419
9,49,77,1,1,2.04299,103282328
10,49,77,0,1,2.20023,99863288
10,49,77,1,1,2.09659,101491584
11,49,77,0,1,2.24774,100893169
11,49,77,1,1,2.14384,102930138
12,49,77,0,1,2.28524,102728942
12,49,77,1,1,2.18183,104141375
13,49,77,0,1,2.31326,102720632
13,49,77,1,1,2.2106,105366931
