context_length,alpha,beta,adapt,pretrain,chars_processed,time_microsec,bpc
1,49,77,0,1,500000,97965,0
1,49,77,0,1,1000000,157568,0
1,49,77,0,1,1500000,209460,0
1,49,77,0,1,2000000,261912,0
1,49,77,0,1,2500000,314130,0
1,49,77,0,1,3000000,366142,0
1,49,77,0,1,3500000,417892,0
1,49,77,0,1,4000000,469652,0
1,49,77,0,1,4500000,521381,0
1,49,77,0,1,5000000,573120,0
1,49,77,0,1,5500000,624957,0
1,49,77,0,1,6000000,676687,0
1,49,77,0,1,6500000,728270,0
1,49,77,0,1,7000000,780036,0
1,49,77,0,1,7500000,831761,0
1,49,77,0,1,8000000,883642,0
1,49,77,0,1,8500000,935560,0
1,49,77,0,1,9000000,1006434,0
1,49,77,0,1,9500000,1058170,0
1,49,77,0,1,10000000,1109951,0
1,49,77,0,1,10500000,1161705,0
1,49,77,0,1,11000000,1213480,0
1,49,77,0,1,11500000,1265231,0
1,49,77,0,1,12000000,1317011,0
1,49,77,1,1,500000,52816,0
1,49,77,1,1,1000000,105275,0
1,49,77,1,1,1500000,157450,0
1,49,77,1,1,2000000,209537,0
1,49,77,1,1,2500000,261574,0
1,49,77,1,1,3000000,313410,0
1,49,77,1,1,3500000,365411,0
1,49,77,1,1,4000000,417329,0
1,49,77,1,1,4500000,469247,0
1,49,77,1,1,5000000,521199,0
1,49,77,1,1,5500000,573257,0
1,49,77,1,1,6000000,625190,0
1,49,77,1,1,6500000,676997,0
1,49,77,1,1,7000000,728967,0
1,49,77,1,1,7500000,780938,0
1,49,77,1,1,8000000,832863,0
1,49,77,1,1,8500000,884769,0
1,49,77,1,1,9000000,936699,0
1,49,77,1,1,9500000,988655,0
1,49,77,1,1,10000000,1040616,0
1,49,77,1,1,10500000,1092576,0
1,49,77,1,1,11000000,1144534,0
1,49,77,1,1,11500000,1196494,0
1,49,77,1,1,12000000,1248466,0
2,49,77,0,1,500000,66346,0
2,49,77,0,1,1000000,131223,0
2,49,77,0,1,1500000,194640,0
2,49,77,0,1,2000000,257318,0
2,49,77,0,1,2500000,320317,0
2,49,77,0,1,3000000,382620,0
2,49,77,0,1,3500000,445889,0
2,49,77,0,1,4000000,507842,0
2,49,77,0,1,4500000,570042,0
2,49,77,0,1,5000000,632404,0
2,49,77,0,1,5500000,694948,0
2,49,77,0,1,6000000,757032,0
2,49,77,0,1,6500000,818411,0
2,49,77,0,1,7000000,880584,0
2,49,77,0,1,7500000,942681,0
2,49,77,0,1,8000000,1004655,0
2,49,77,0,1,8500000,1066397,0
2,49,77,0,1,9000000,1128708,0
2,49,77,0,1,9500000,1190603,0
2,49,77,0,1,10000000,1252916,0
2,49,77,0,1,10500000,1314534,0
2,49,77,0,1,11000000,1376446,0
2,49,77,0,1,11500000,1438010,0
2,49,77,0,1,12000000,1499882,0
2,49,77,1,1,500000,66119,0
2,49,77,1,1,1000000,130991,0
2,49,77,1,1,1500000,194625,0
2,49,77,1,1,2000000,257497,0
2,49,77,1,1,2500000,320746,0
2,49,77,1,1,3000000,383213,0
2,49,77,1,1,3500000,446661,0
2,49,77,1,1,4000000,508778,0
2,49,77,1,1,4500000,571153,0
2,49,77,1,1,5000000,633771,0
2,49,77,1,1,5500000,696639,0
2,49,77,1,1,6000000,759022,0
2,49,77,1,1,6500000,820657,0
2,49,77,1,1,7000000,883080,0
2,49,77,1,1,7500000,945445,0
2,49,77,1,1,8000000,1007704,0
2,49,77,1,1,8500000,1069632,0
2,49,77,1,1,9000000,1131835,0
2,49,77,1,1,9500000,1193975,0
2,49,77,1,1,10000000,1256435,0
2,49,77,1,1,10500000,1318256,0
2,49,77,1,1,11000000,1380385,0
2,49,77,1,1,11500000,1442107,0
2,49,77,1,1,12000000,1504248,0
3,49,77,0,1,500000,86383,0
3,49,77,0,1,1000000,169925,0
3,49,77,0,1,1500000,250806,0
3,49,77,0,1,2000000,330328,0
3,49,77,0,1,2500000,410659,0
3,49,77,0,1,3000000,488951,0
3,49,77,0,1,3500000,568820,0
3,49,77,0,1,4000000,646420,0
3,49,77,0,1,4500000,724400,0
3,49,77,0,1,5000000,803264,0
3,49,77,0,1,5500000,882228,0
3,49,77,0,1,6000000,960414,0
3,49,77,0,1,6500000,1037042,0
3,49,77,0,1,7000000,1115148,0
3,49,77,0,1,7500000,1192912,0
3,49,77,0,1,8000000,1270471,0
3,49,77,0,1,8500000,1347767,0
3,49,77,0,1,9000000,1425460,0
3,49,77,0,1,9500000,1502489,0
3,49,77,0,1,10000000,1582264,0
3,49,77,0,1,10500000,1659569,0
3,49,77,0,1,11000000,1736457,0
3,49,77,0,1,11500000,1813317,0
3,49,77,0,1,12000000,1890956,0
3,49,77,1,1,500000,86616,0
3,49,77,1,1,1000000,169995,0
3,49,77,1,1,1500000,250782,0
3,49,77,1,1,2000000,330292,0
3,49,77,1,1,2500000,409871,0
3,49,77,1,1,3000000,488233,0
3,49,77,1,1,3500000,568135,0
3,49,77,1,1,4000000,645796,0
3,49,77,1,1,4500000,723879,0
3,49,77,1,1,5000000,802806,0
3,49,77,1,1,5500000,881831,0
3,49,77,1,1,6000000,960063,0
3,49,77,1,1,6500000,1036754,0
3,49,77,1,1,7000000,1114904,0
3,49,77,1,1,7500000,1192689,0
3,49,77,1,1,8000000,1270264,0
3,49,77,1,1,8500000,1347604,0
3,49,77,1,1,9000000,1425352,0
3,49,77,1,1,9500000,1502471,0
3,49,77,1,1,10000000,1582147,0
3,49,77,1,1,10500000,1659492,0
3,49,77,1,1,11000000,1736454,0
3,49,77,1,1,11500000,1813329,0
3,49,77,1,1,12000000,1891074,0
4,49,77,0,1,500000,109274,0
4,49,77,0,1,1000000,211597,0
4,49,77,0,1,1500000,314147,0
4,49,77,0,1,2000000,414106,0
4,49,77,0,1,2500000,514335,0
4,49,77,0,1,3000000,612093,0
4,49,77,0,1,3500000,715266,0
4,49,77,0,1,4000000,812044,0
4,49,77,0,1,4500000,911004,0
4,49,77,0,1,5000000,1011902,0
4,49,77,0,1,5500000,1113595,0
4,49,77,0,1,6000000,1213079,0
4,49,77,0,1,6500000,1309110,0
4,49,77,0,1,7000000,1408176,0
4,49,77,0,1,7500000,1506877,0
4,49,77,0,1,8000000,1605382,0
4,49,77,0,1,8500000,1702621,0
4,49,77,0,1,9000000,1802253,0
4,49,77,0,1,9500000,1900246,0
4,49,77,0,1,10000000,2004788,0
4,49,77,0,1,10500000,2103751,0
4,49,77,0,1,11000000,2201184,0
4,49,77,0,1,11500000,2298847,0
4,49,77,0,1,12000000,2399078,0
4,49,77,1,1,500000,110487,0
4,49,77,1,1,1000000,213426,0
4,49,77,1,1,1500000,315946,0
4,49,77,1,1,2000000,415786,0
4,49,77,1,1,2500000,516012,0
4,49,77,1,1,3000000,613911,0
4,49,77,1,1,3500000,716904,0
4,49,77,1,1,4000000,813551,0
4,49,77,1,1,4500000,912402,0
4,49,77,1,1,5000000,1013124,0
4,49,77,1,1,5500000,1114735,0
4,49,77,1,1,6000000,1214106,0
4,49,77,1,1,6500000,1310073,0
4,49,77,1,1,7000000,1408921,0
4,49,77,1,1,7500000,1507512,0
4,49,77,1,1,8000000,1606131,0
4,49,77,1,1,8500000,1703249,0
4,49,77,1,1,9000000,1802711,0
4,49,77,1,1,9500000,1900617,0
4,49,77,1,1,10000000,2005082,0
4,49,77,1,1,10500000,2104075,0
4,49,77,1,1,11000000,2201471,0
4,49,77,1,1,11500000,2299078,0
4,49,77,1,1,12000000,2399173,0
5,49,77,0,1,500000,138954,0
5,49,77,0,1,1000000,272593,0
5,49,77,0,1,1500000,407777,0
5,49,77,0,1,2000000,540630,0
5,49,77,0,1,2500000,678133,0
5,49,77,0,1,3000000,810197,0
5,49,77,0,1,3500000,955863,0
5,49,77,0,1,4000000,1086057,0
5,49,77,0,1,4500000,1222959,0
5,49,77,0,1,5000000,1361229,0
5,49,77,0,1,5500000,1501528,0
5,49,77,0,1,6000000,1637197,0
5,49,77,0,1,6500000,1764721,0
5,49,77,0,1,7000000,1899233,0
5,49,77,0,1,7500000,2034919,0
5,49,77,0,1,8000000,2168832,0
5,49,77,0,1,8500000,2299064,0
5,49,77,0,1,9000000,2433974,0
5,49,77,0,1,9500000,2566464,0
5,49,77,0,1,10000000,2707420,0
5,49,77,0,1,10500000,2841088,0
5,49,77,0,1,11000000,2972135,0
5,49,77,0,1,11500000,3104394,0
5,49,77,0,1,12000000,3241754,0
5,49,77,1,1,500000,139098,0
5,49,77,1,1,1000000,272956,0
5,49,77,1,1,1500000,408310,0
5,49,77,1,1,2000000,541252,0
5,49,77,1,1,2500000,675756,0
5,49,77,1,1,3000000,805399,0
5,49,77,1,1,3500000,947605,0
5,49,77,1,1,4000000,1075992,0
5,49,77,1,1,4500000,1210594,0
5,49,77,1,1,5000000,1346398,0
5,49,77,1,1,5500000,1484187,0
5,49,77,1,1,6000000,1617934,0
5,49,77,1,1,6500000,1744393,0
5,49,77,1,1,7000000,1877477,0
5,49,77,1,1,7500000,2011238,0
5,49,77,1,1,8000000,2143652,0
5,49,77,1,1,8500000,2272437,0
5,49,77,1,1,9000000,2405809,0
5,49,77,1,1,9500000,2536905,0
5,49,77,1,1,10000000,2675237,0
5,49,77,1,1,10500000,2807768,0
5,49,77,1,1,11000000,2937751,0
5,49,77,1,1,11500000,3068895,0
5,49,77,1,1,12000000,3204748,0
6,49,77,0,1,500000,174652,0
6,49,77,0,1,1000000,349115,0
6,49,77,0,1,1500000,525888,0
6,49,77,0,1,2000000,703564,0
6,49,77,0,1,2500000,883101,0
6,49,77,0,1,3000000,1055816,0
6,49,77,0,1,3500000,1248999,0
6,49,77,0,1,4000000,1423527,0
6,49,77,0,1,4500000,1610039,0
6,49,77,0,1,5000000,1794744,0
6,49,77,0,1,5500000,1983248,0
6,49,77,0,1,6000000,2165030,0
6,49,77,0,1,6500000,2335802,0
6,49,77,0,1,7000000,2516856,0
6,49,77,0,1,7500000,2698884,0
6,49,77,0,1,8000000,2878705,0
6,49,77,0,1,8500000,3051626,0
6,49,77,0,1,9000000,3231501,0
6,49,77,0,1,9500000,3408567,0
6,49,77,0,1,10000000,3592661,0
6,49,77,0,1,10500000,3769802,0
6,49,77,0,1,11000000,3944066,0
6,49,77,0,1,11500000,4120782,0
6,49,77,0,1,12000000,4304414,0
6,49,77,1,1,500000,175333,0
6,49,77,1,1,1000000,350134,0
6,49,77,1,1,1500000,527166,0
6,49,77,1,1,2000000,705192,0
6,49,77,1,1,2500000,885362,0
6,49,77,1,1,3000000,1058459,0
6,49,77,1,1,3500000,1252416,0
6,49,77,1,1,4000000,1427703,0
6,49,77,1,1,4500000,1614808,0
6,49,77,1,1,5000000,1801230,0
6,49,77,1,1,5500000,1990504,0
6,49,77,1,1,6000000,2172845,0
6,49,77,1,1,6500000,2343535,0
6,49,77,1,1,7000000,2524729,0
6,49,77,1,1,7500000,2707039,0
6,49,77,1,1,8000000,2887567,0
6,49,77,1,1,8500000,3060869,0
6,49,77,1,1,9000000,3241329,0
6,49,77,1,1,9500000,3418879,0
6,49,77,1,1,10000000,3603750,0
6,49,77,1,1,10500000,3781425,0
6,49,77,1,1,11000000,3956077,0
6,49,77,1,1,11500000,4133346,0
6,49,77,1,1,12000000,4317606,0
7,49,77,0,1,500000,214912,0
7,49,77,0,1,1000000,432643,0
7,49,77,0,1,1500000,653271,0
7,49,77,0,1,2000000,878254,0
7,49,77,0,1,2500000,1105120,0
7,49,77,0,1,3000000,1323498,0
7,49,77,0,1,3500000,1564885,0
7,49,77,0,1,4000000,1781322,0
7,49,77,0,1,4500000,2012076,0
7,49,77,0,1,5000000,2243323,0
7,49,77,0,1,5500000,2483350,0
7,49,77,0,1,6000000,2715154,0
7,49,77,0,1,6500000,2933340,0
7,49,77,0,1,7000000,3164742,0
7,49,77,0,1,7500000,3397694,0
7,49,77,0,1,8000000,3627878,0
7,49,77,0,1,8500000,3848987,0
7,49,77,0,1,9000000,4079151,0
7,49,77,0,1,9500000,4304994,0
7,49,77,0,1,10000000,4535978,0
7,49,77,0,1,10500000,4759280,0
7,49,77,0,1,11000000,4978703,0
7,49,77,0,1,11500000,5204382,0
7,49,77,0,1,12000000,5437884,0
7,49,77,1,1,500000,215111,0
7,49,77,1,1,1000000,433235,0
7,49,77,1,1,1500000,653734,0
7,49,77,1,1,2000000,878502,0
7,49,77,1,1,2500000,1105263,0
7,49,77,1,1,3000000,1323815,0
7,49,77,1,1,3500000,1564322,0
7,49,77,1,1,4000000,1780870,0
7,49,77,1,1,4500000,2012103,0
7,49,77,1,1,5000000,2243211,0
7,49,77,1,1,5500000,2483496,0
7,49,77,1,1,6000000,2715326,0
7,49,77,1,1,6500000,2933614,0
7,49,77,1,1,7000000,3165086,0
7,49,77,1,1,7500000,3407467,0
7,49,77,1,1,8000000,3638374,0
7,49,77,1,1,8500000,3859462,0
7,49,77,1,1,9000000,4088609,0
7,49,77,1,1,9500000,4314549,0
7,49,77,1,1,10000000,4545605,0
7,49,77,1,1,10500000,4769371,0
7,49,77,1,1,11000000,4988937,0
7,49,77,1,1,11500000,5214580,0
7,49,77,1,1,12000000,5447853,0
8,49,77,0,1,500000,317799,0
8,49,77,0,1,1000000,578310,0
8,49,77,0,1,1500000,841235,0
8,49,77,0,1,2000000,1111101,0
8,49,77,0,1,2500000,1384981,0
8,49,77,0,1,3000000,1649480,0
8,49,77,0,1,3500000,1938760,0
8,49,77,0,1,4000000,2200383,0
8,49,77,0,1,4500000,2480435,0
