context_length,alpha,beta,adapt,pretrain,bpc,time_microsec
1,49,77,0,1,6.24059,52928740
1,49,77,1,1,6.23991,52597590
2,49,77,0,1,5.57003,63041193
2,49,77,1,1,5.59849,63375610
3,49,77,0,1,4.16121,72403373
3,49,77,1,1,4.18863,71593334
4,49,77,0,1,2.94633,77854570
4,49,77,1,1,2.93324,78273377
5,49,77,0,1,2.30514,83479397
5,49,77,1,1,2.26706,83972600
6,49,77,0,1,2.01313,88087138
6,49,77,1,1,1.9599,90217197
7,49,77,0,1,1.90443,91627967
7,49,77,1,1,1.83785,92481616
8,49,77,0,1,1.87173,94476653
8,49,77,1,1,1.79909,95411921
9,49,77,0,1,1.86615,96713184
9,49,77,1,1,1.79257,99303228
10,49,77,0,1,1.87186,98413228
10,49,77,1,1,1.7968,99737187
11,49,77,0,1,1.8749,99879057
11,49,77,1,1,1.80073,101520515
12,49,77,0,1,1.87464,101866427
12,49,77,1,1,1.80152,102685112
13,49,77,0,1,1.8724,101951193
13,49,77,1,1,1.79945,103637350
