context_length,alpha,beta,adapt,pretrain,chars_processed,time_microsec,bpc
1,49,77,0,1,500000,62938,0
1,49,77,0,1,1000000,171955,0
1,49,77,0,1,1500000,400902,0
1,49,77,0,1,2000000,512640,0
1,49,77,0,1,2500000,646783,0
1,49,77,0,1,3000000,885675,0
1,49,77,0,1,3500000,988715,0
1,49,77,0,1,4000000,1119699,0
1,49,77,0,1,4500000,1235688,0
1,49,77,0,1,5000000,1289436,0
1,49,77,0,1,5500000,1397560,0
1,49,77,0,1,6000000,1497136,0
1,49,77,0,1,6500000,1579454,0
1,49,77,0,1,7000000,1687231,0
1,49,77,0,1,7500000,1787076,0
1,49,77,0,1,8000000,1869220,0
1,49,77,0,1,8500000,1976420,0
1,49,77,0,1,9000000,2078541,0
1,49,77,0,1,9500000,2163861,0
1,49,77,0,1,10000000,2271272,0
1,49,77,0,1,10500000,2369879,0
1,49,77,0,1,11000000,2450646,0
1,49,77,0,1,11500000,2559835,0
1,49,77,0,1,12000000,2624797,0
1,49,77,1,1,500000,53335,0
1,49,77,1,1,1000000,106026,0
1,49,77,1,1,1500000,158783,0
1,49,77,1,1,2000000,211505,0
1,49,77,1,1,2500000,264209,0
1,49,77,1,1,3000000,316914,0
1,49,77,1,1,3500000,369704,0
1,49,77,1,1,4000000,422343,0
1,49,77,1,1,4500000,475966,0
1,49,77,1,1,5000000,528746,0
1,49,77,1,1,5500000,581341,0
1,49,77,1,1,6000000,633922,0
1,49,77,1,1,6500000,686540,0
1,49,77,1,1,7000000,739230,0
1,49,77,1,1,7500000,791858,0
1,49,77,1,1,8000000,844410,0
1,49,77,1,1,8500000,897025,0
1,49,77,1,1,9000000,949767,0
1,49,77,1,1,9500000,1002183,0
1,49,77,1,1,10000000,1054649,0
1,49,77,1,1,10500000,1107137,0
1,49,77,1,1,11000000,1159792,0
1,49,77,1,1,11500000,1212432,0
1,49,77,1,1,12000000,1264974,0
2,49,77,0,1,500000,67308,0
2,49,77,0,1,1000000,131421,0
2,49,77,0,1,1500000,195351,0
2,49,77,0,1,2000000,258565,0
2,49,77,0,1,2500000,321679,0
2,49,77,0,1,3000000,384725,0
2,49,77,0,1,3500000,447838,0
2,49,77,0,1,4000000,510762,0
2,49,77,0,1,4500000,573440,0
2,49,77,0,1,5000000,636281,0
2,49,77,0,1,5500000,698929,0
2,49,77,0,1,6000000,761643,0
2,49,77,0,1,6500000,824303,0
