context_length,alpha,beta,adapt,pretrain,bpc,time_microsec
1,49,77,0,1,6.23573,53245755
1,49,77,1,1,6.23896,53007084
2,49,77,0,1,5.58205,63955002
2,49,77,1,1,5.59865,64838664
3,49,77,0,1,4.13501,72571251
3,49,77,1,1,4.17337,72902631
4,49,77,0,1,2.9632,79400474
4,49,77,1,1,2.9366,79824993
5,49,77,0,1,2.4053,85248875
5,49,77,1,1,2.3278,85883279
6,49,77,0,1,2.20663,90225797
6,49,77,1,1,2.08646,92685174
7,49,77,0,1,2.17661,93309264
7,49,77,1,1,2.03152,94778753
8,49,77,0,1,2.22189,96227063
8,49,77,1,1,2.057,97676356
9,49,77,0,1,2.2813,98971508
9,49,77,1,1,2.1071,100319076
10,49,77,0,1,2.34007,100890539
10,49,77,1,1,2.16038,102098125
11,49,77,0,1,2.38878,101182468
11,49,77,1,1,2.20633,103777141
12,49,77,0,1,2.42544,102916638
12,49,77,1,1,2.24181,104687460
13,49,77,0,1,2.4514,102832422
13,49,77,1,1,2.26768,105999751
