context_length,alpha,beta,adapt,pretrain,chars_processed,time_microsec,bpc
1,49,77,0,1,500000,55842,0
1,49,77,0,1,1000000,264944,0
1,49,77,0,1,1500000,379604,0
1,49,77,0,1,2000000,480305,0
1,49,77,0,1,2500000,612260,0
1,49,77,0,1,3000000,774220,0
1,49,77,0,1,3500000,878220,0
1,49,77,0,1,4000000,1139886,0
1,49,77,0,1,4500000,1371787,0
1,49,77,0,1,5000000,1473340,0
1,49,77,0,1,5500000,1573336,0
1,49,77,0,1,6000000,1718916,0
1,49,77,0,1,6500000,1804945,0
1,49,77,0,1,7000000,1924890,0
1,49,77,0,1,7500000,2041198,0
1,49,77,0,1,8000000,2122271,0
1,49,77,0,1,8500000,2230146,0
1,49,77,0,1,9000000,2327377,0
1,49,77,0,1,9500000,2399731,0
1,49,77,0,1,10000000,2507154,0
1,49,77,0,1,10500000,2607494,0
1,49,77,0,1,11000000,2682979,0
1,49,77,0,1,11500000,2794095,0
1,49,77,0,1,12000000,2858188,0
1,49,77,1,1,500000,52632,0
1,49,77,1,1,1000000,104782,0
1,49,77,1,1,1500000,156807,0
1,49,77,1,1,2000000,208701,0
1,49,77,1,1,2500000,260594,0
1,49,77,1,1,3000000,312297,0
1,49,77,1,1,3500000,364165,0
1,49,77,1,1,4000000,415911,0
1,49,77,1,1,4500000,467710,0
1,49,77,1,1,5000000,519563,0
1,49,77,1,1,5500000,571502,0
1,49,77,1,1,6000000,623350,0
1,49,77,1,1,6500000,675037,0
1,49,77,1,1,7000000,726880,0
1,49,77,1,1,7500000,778725,0
1,49,77,1,1,8000000,830541,0
1,49,77,1,1,8500000,882325,0
1,49,77,1,1,9000000,934136,0
1,49,77,1,1,9500000,985930,0
1,49,77,1,1,10000000,1037782,0
1,49,77,1,1,10500000,1089556,0
1,49,77,1,1,11000000,1141379,0
1,49,77,1,1,11500000,1193154,0
1,49,77,1,1,12000000,1244982,0
2,49,77,0,1,500000,66262,0
2,49,77,0,1,1000000,131191,0
