context_length,alpha,beta,adapt,pretrain,bpc,time_microsec
1,49,77,0,1,6.24041,52983016
1,49,77,1,1,6.2374,52752231
2,49,77,0,1,5.54575,63828968
2,49,77,1,1,5.57214,63153964
3,49,77,0,1,4.13366,71271960
3,49,77,1,1,4.14505,71409650
4,49,77,0,1,2.98001,77485636
4,49,77,1,1,2.92822,78145331
5,49,77,0,1,2.4447,82962682
5,49,77,1,1,2.35304,83933417
6,49,77,0,1,2.26362,88474193
6,49,77,1,1,2.13896,88677074
7,49,77,0,1,2.25631,90611777
7,49,77,1,1,2.10732,92024519
8,49,77,0,1,2.31185,93261020
8,49,77,1,1,2.14872,94932015
9,49,77,0,1,2.38103,96098883
9,49,77,1,1,2.21015,97234779
10,49,77,0,1,2.44624,96380223
10,49,77,1,1,2.27164,98744345
11,49,77,0,1,2.4988,97701968
11,49,77,1,1,2.32303,100193825
12,49,77,0,1,2.53761,102735048
12,49,77,1,1,2.36221,101412552
13,49,77,0,1,2.56496,99210646
13,49,77,1,1,2.39064,102471661
