context_length,alpha,beta,adapt,pretrain,chars_processed,time_microsec,bpc
1,49,77,0,1,500000,65389,0
1,49,77,0,1,1000000,172082,0
1,49,77,0,1,1500000,271439,0
1,49,77,0,1,2000000,352969,0
1,49,77,0,1,2500000,460219,0
1,49,77,0,1,3000000,559560,0
1,49,77,0,1,3500000,617240,0
1,49,77,0,1,4000000,704007,0
1,49,77,0,1,4500000,802548,0
1,49,77,0,1,5000000,891399,0
1,49,77,0,1,5500000,993196,0
1,49,77,0,1,6000000,1082162,0
1,49,77,0,1,6500000,1135005,0
1,49,77,0,1,7000000,1243290,0
1,49,77,0,1,7500000,1395617,0
1,49,77,0,1,8000000,1496952,0
1,49,77,0,1,8500000,1698879,0
1,49,77,0,1,9000000,1942716,0
1,49,77,0,1,9500000,2047164,0
1,49,77,0,1,10000000,2306562,0
1,49,77,0,1,10500000,2460674,0
1,49,77,0,1,11000000,2560033,0
1,49,77,0,1,11500000,2686883,0
1,49,77,0,1,12000000,2769143,0
1,49,77,1,1,500000,52908,0
1,49,77,1,1,1000000,105218,0
1,49,77,1,1,1500000,157517,0
1,49,77,1,1,2000000,209730,0
1,49,77,1,1,2500000,261919,0
1,49,77,1,1,3000000,314112,0
1,49,77,1,1,3500000,366380,0
1,49,77,1,1,4000000,418510,0
1,49,77,1,1,4500000,470576,0
1,49,77,1,1,5000000,522744,0
1,49,77,1,1,5500000,574799,0
1,49,77,1,1,6000000,626869,0
1,49,77,1,1,6500000,678937,0
1,49,77,1,1,7000000,730996,0
1,49,77,1,1,7500000,783079,0
1,49,77,1,1,8000000,835143,0
1,49,77,1,1,8500000,887229,0
1,49,77,1,1,9000000,939326,0
1,49,77,1,1,9500000,991244,0
1,49,77,1,1,10000000,1043201,0
1,49,77,1,1,10500000,1095192,0
1,49,77,1,1,11000000,1147288,0
1,49,77,1,1,11500000,1199435,0
1,49,77,1,1,12000000,1251474,0
2,49,77,0,1,500000,67399,0
2,49,77,0,1,1000000,131561,0
2,49,77,0,1,1500000,195583,0
2,49,77,0,1,2000000,258891,0
2,49,77,0,1,2500000,321927,0
2,49,77,0,1,3000000,384891,0
2,49,77,0,1,3500000,447925,0
2,49,77,0,1,4000000,510954,0
2,49,77,0,1,4500000,573673,0
2,49,77,0,1,5000000,636425,0
2,49,77,0,1,5500000,698954,0
2,49,77,0,1,6000000,761587,0
2,49,77,0,1,6500000,824171,0
2,49,77,0,1,7000000,887111,0
2,49,77,0,1,7500000,949682,0
2,49,77,0,1,8000000,1012063,0
2,49,77,0,1,8500000,1074596,0
2,49,77,0,1,9000000,1137188,0
2,49,77,0,1,9500000,1199288,0
2,49,77,0,1,10000000,1261484,0
2,49,77,0,1,10500000,1323693,0
2,49,77,0,1,11000000,1386057,0
2,49,77,0,1,11500000,1448545,0
2,49,77,0,1,12000000,1510860,0
2,49,77,1,1,500000,67084,0
2,49,77,1,1,1000000,131124,0
2,49,77,1,1,1500000,195088,0
2,49,77,1,1,2000000,258206,0
2,49,77,1,1,2500000,321196,0
2,49,77,1,1,3000000,384199,0
2,49,77,1,1,3500000,447195,0
2,49,77,1,1,4000000,509987,0
2,49,77,1,1,4500000,572644,0
2,49,77,1,1,5000000,635448,0
2,49,77,1,1,5500000,697955,0
2,49,77,1,1,6000000,760640,0
2,49,77,1,1,6500000,823211,0
2,49,77,1,1,7000000,886117,0
2,49,77,1,1,7500000,948752,0
2,49,77,1,1,8000000,1011108,0
2,49,77,1,1,8500000,1073641,0
2,49,77,1,1,9000000,1136331,0
2,49,77,1,1,9500000,1198453,0
2,49,77,1,1,10000000,1260652,0
2,49,77,1,1,10500000,1322812,0
2,49,77,1,1,11000000,1385248,0
2,49,77,1,1,11500000,1447702,0
2,49,77,1,1,12000000,1509965,0
3,49,77,0,1,500000,102977,0
3,49,77,0,1,1000000,185020,0
3,49,77,0,1,1500000,265773,0
