context_length,alpha,beta,adapt,bpc,time_microsec
1,49,77,0,5.00628,430728
1,49,77,1,5.03013,411232
2,49,77,0,3.34482,477355
2,49,77,1,3.32541,478745
3,49,77,0,2.63496,519511
3,49,77,1,2.61745,520355
4,49,77,0,2.44888,546667
4,49,77,1,2.41642,547832
5,49,77,0,2.43412,562286
5,49,77,1,2.39395,565857
6,49,77,0,2.48586,574506
6,49,77,1,2.4405,577716
7,49,77,0,2.53845,585058
7,49,77,1,2.48913,586489
8,49,77,0,2.57875,585332
8,49,77,1,2.52653,594147
9,49,77,0,2.60497,589521
9,49,77,1,2.55154,598361
10,49,77,0,2.62124,591867
10,49,77,1,2.56766,601566
11,49,77,0,2.6321,593015
11,49,77,1,2.57831,604395
12,49,77,0,2.63931,594633
12,49,77,1,2.58539,606683
13,49,77,0,2.64382,594435
13,49,77,1,2.59006,609315
14,49,77,0,2.6464,594998
14,49,77,1,2.59274,610896
15,49,77,0,2.64796,595874
15,49,77,1,2.59451,613109
16,49,77,0,2.64901,596208
16,49,77,1,2.59574,631269
17,49,77,0,2.64975,596513
17,49,77,1,2.59655,616589
18,49,77,0,2.65014,596741
18,49,77,1,2.59706,618703
19,49,77,0,2.65043,596808
19,49,77,1,2.59743,620259
20,49,77,0,2.65064,597321
20,49,77,1,2.59772,622170
