context_length,alpha,beta,adapt,pretrain,chars_processed,time_microsec,bpc
1,49,77,0,1,500000,89884,0
1,49,77,0,1,1000000,145165,0
1,49,77,0,1,1500000,196733,0
1,49,77,0,1,2000000,248098,0
1,49,77,0,1,2500000,299495,0
1,49,77,0,1,3000000,350931,0
1,49,77,0,1,3500000,402230,0
1,49,77,0,1,4000000,453492,0
1,49,77,0,1,4500000,504788,0
1,49,77,0,1,5000000,556029,0
1,49,77,0,1,5500000,607229,0
1,49,77,0,1,6000000,658458,0
1,49,77,0,1,6500000,709740,0
1,49,77,0,1,7000000,760984,0
1,49,77,0,1,7500000,812273,0
1,49,77,0,1,8000000,863570,0
1,49,77,0,1,8500000,914731,0
1,49,77,0,1,9000000,965832,0
1,49,77,0,1,9500000,1016928,0
1,49,77,0,1,10000000,1068043,0
1,49,77,0,1,10500000,1119722,0
1,49,77,0,1,11000000,1170831,0
1,49,77,0,1,11500000,1284507,0
1,49,77,0,1,12000000,1381074,0
1,49,77,0,1,12500000,1433016,0
1,49,77,0,1,13000000,1533196,0
1,49,77,0,1,13500000,1627859,0
1,49,77,0,1,14000000,1680280,0
1,49,77,0,1,14500000,1788488,0
1,49,77,0,1,15000000,1874365,0
1,49,77,0,1,15500000,1926002,0
1,49,77,0,1,16000000,2019243,0
1,49,77,0,1,16500000,2115067,0
1,49,77,0,1,17000000,2166663,0
1,49,77,0,1,17500000,2260384,0
1,49,77,0,1,18000000,2351140,0
1,49,77,0,1,18500000,2402713,0
1,49,77,0,1,19000000,2489517,0
1,49,77,0,1,19500000,2581068,0
1,49,77,0,1,20000000,2670663,0
1,49,77,0,1,20500000,2724108,0
1,49,77,0,1,21000000,2828159,0
1,49,77,0,1,21500000,2919767,0
1,49,77,0,1,22000000,2972184,0
1,49,77,0,1,22500000,3060835,0
1,49,77,0,1,23000000,3153161,0
1,49,77,0,1,23500000,3204761,0
1,49,77,0,1,24000000,3315103,0
1,49,77,0,1,24500000,3412286,0
1,49,77,0,1,25000000,3463997,0
1,49,77,0,1,25500000,3574028,0
1,49,77,0,1,26000000,3669785,0
1,49,77,0,1,26500000,3723078,0
1,49,77,0,1,27000000,3833702,0
1,49,77,0,1,27500000,3938183,0
1,49,77,0,1,28000000,4010028,0
