context_length,alpha,beta,adapt,bpc,time_microsec
1,49,77,0,inf,54555408
1,49,77,1,inf,54273692
2,49,77,0,inf,61191550
2,49,77,1,inf,61236520
3,49,77,0,inf,66682895
3,49,77,1,inf,65817429
4,49,77,0,inf,69397041
4,49,77,1,inf,69434062
5,49,77,0,inf,72774324
5,49,77,1,inf,73029495
6,49,77,0,inf,75085904
6,49,77,1,inf,75159398
7,49,77,0,inf,77219623
7,49,77,1,inf,77250816
8,49,77,0,inf,79569508
8,49,77,1,inf,79704221
9,49,77,0,inf,81882892
9,49,77,1,inf,81700539
10,49,77,0,inf,83127326
10,49,77,1,inf,83089424
11,49,77,0,inf,84390471
11,49,77,1,inf,85052397
12,49,77,0,inf,85515927
12,49,77,1,inf,85695287
13,49,77,0,inf,86579051
13,49,77,1,inf,87636084
14,49,77,0,inf,87495508
14,49,77,1,inf,88133644
15,49,77,0,inf,88367648
15,49,77,1,inf,89496012
16,49,77,0,inf,89083328
16,49,77,1,inf,89316259
17,49,77,0,inf,89433734
17,49,77,1,inf,90038049
18,49,77,0,inf,89957496
18,49,77,1,inf,90660454
19,49,77,0,inf,90828128
19,49,77,1,inf,91015093
20,49,77,0,inf,90617612
20,49,77,1,inf,91804574
