context_length,alpha,beta,adapt,chars_processed,time_microsec,bpc
1,49,77,0,500000,86543,0
1,49,77,0,1000000,137634,0
1,49,77,0,1500000,188949,0
1,49,77,0,2000000,240086,0
1,49,77,0,2500000,291211,0
1,49,77,0,3000000,342263,0
1,49,77,0,3500000,393330,0
1,49,77,0,4000000,444922,0
1,49,77,0,4500000,496063,0
1,49,77,0,5000000,546848,0
1,49,77,0,5500000,597582,0
1,49,77,0,6000000,648586,0
1,49,77,0,6500000,699791,0
1,49,77,0,7000000,795101,0
1,49,77,0,7500000,862600,0
1,49,77,0,8000000,913490,0
1,49,77,0,8500000,964200,0
1,49,77,0,9000000,1014871,0
1,49,77,0,9500000,1065536,0
1,49,77,0,10000000,1116207,0
1,49,77,0,10500000,1166845,0
1,49,77,0,11000000,1217512,0
1,49,77,0,11500000,1268174,0
1,49,77,0,12000000,1318812,0
1,49,77,0,12500000,1369459,0
1,49,77,0,13000000,1420080,0
1,49,77,0,13500000,1470718,0
1,49,77,0,14000000,1521355,0
1,49,77,0,14500000,1571969,0
1,49,77,0,15000000,1622589,0
1,49,77,0,15500000,1673182,0
1,49,77,0,16000000,1723814,0
1,49,77,0,16500000,1774424,0
1,49,77,0,17000000,1825028,0
1,49,77,0,17500000,1875630,0
1,49,77,0,18000000,1926265,0
1,49,77,0,18500000,1976881,0
1,49,77,0,19000000,2027824,0
1,49,77,0,19500000,2078423,0
1,49,77,0,20000000,2128960,0
1,49,77,0,20500000,2179487,0
1,49,77,0,21000000,2230008,0
1,49,77,0,21500000,2280546,0
1,49,77,0,22000000,2331119,0
1,49,77,0,22500000,2381646,0
1,49,77,0,23000000,2432179,0
1,49,77,0,23500000,2482722,0
1,49,77,0,24000000,2533257,0
1,49,77,0,24500000,2583783,0
1,49,77,0,25000000,2634315,0
1,49,77,0,25500000,2684833,0
1,49,77,0,26000000,2735350,0
1,49,77,0,26500000,2785877,0
1,49,77,0,27000000,2836404,0
1,49,77,0,27500000,2886920,0
1,49,77,0,28000000,2937449,0
1,49,77,0,28500000,2988023,0
1,49,77,0,29000000,3038627,0
1,49,77,0,29500000,3089123,0
1,49,77,0,30000000,3139597,0
1,49,77,0,30500000,3190105,0
1,49,77,0,31000000,3240592,0
1,49,77,0,31500000,3291077,0
1,49,77,0,32000000,3341549,0
1,49,77,0,32500000,3392010,0
1,49,77,0,33000000,3442504,0
1,49,77,0,33500000,3493004,0
1,49,77,0,34000000,3543496,0
1,49,77,0,34500000,3593979,0
1,49,77,0,35000000,3644470,0
1,49,77,0,35500000,3695004,0
1,49,77,0,36000000,3745503,0
1,49,77,0,36500000,3796829,0
1,49,77,0,37000000,3848148,0
1,49,77,0,37500000,3898789,0
1,49,77,0,38000000,3949276,0
1,49,77,0,38500000,4000064,0
1,49,77,0,39000000,4050583,0
1,49,77,0,39500000,4101060,0
1,49,77,0,40000000,4151561,0
1,49,77,0,40500000,4202082,0
1,49,77,0,41000000,4252576,0
1,49,77,0,41500000,4303049,0
1,49,77,0,42000000,4353530,0
1,49,77,0,42500000,4404002,0
1,49,77,0,43000000,4454488,0
1,49,77,0,43500000,4504970,0
1,49,77,0,44000000,4555445,0
1,49,77,0,44500000,4605938,0
1,49,77,0,45000000,4656417,0
1,49,77,0,45500000,4706940,0
1,49,77,0,46000000,4757403,0
1,49,77,0,46500000,4807923,0
1,49,77,0,47000000,4858415,0
1,49,77,0,47500000,4908925,0
1,49,77,0,48000000,4959406,0
1,49,77,0,48500000,5009878,0
1,49,77,0,49000000,5060409,0
1,49,77,0,49500000,5110873,0
1,49,77,0,50000000,5161335,0
1,49,77,0,50500000,5211803,0
1,49,77,0,51000000,5262277,0
1,49,77,0,51500000,5312745,0
1,49,77,0,52000000,5363284,0
1,49,77,0,52500000,5413791,0
1,49,77,0,53000000,5464250,0
1,49,77,0,53500000,5514733,0
1,49,77,0,54000000,5565218,0
1,49,77,0,54500000,5615698,0
1,49,77,0,55000000,5666171,0
1,49,77,0,55500000,5716633,0
1,49,77,0,56000000,5767112,0
1,49,77,0,56500000,5817591,0
1,49,77,0,57000000,5868059,0
1,49,77,0,57500000,5918563,0
1,49,77,0,58000000,5969043,0
1,49,77,0,58500000,6019530,0
1,49,77,0,59000000,6070006,0
1,49,77,0,59500000,6120469,0
1,49,77,0,60000000,6170948,0
1,49,77,0,60500000,6221411,0
1,49,77,0,61000000,6271897,0
1,49,77,0,61500000,6322387,0
1,49,77,0,62000000,6372838,0
1,49,77,0,62500000,6423339,0
1,49,77,0,63000000,6473852,0
1,49,77,0,63500000,6524330,0
1,49,77,0,64000000,6574835,0
1,49,77,0,64500000,6625314,0
1,49,77,0,65000000,6675870,0
1,49,77,0,65500000,6726397,0
1,49,77,0,66000000,6776933,0
1,49,77,0,66500000,6827561,0
1,49,77,0,67000000,6878066,0
1,49,77,0,67500000,6928597,0
1,49,77,0,68000000,6979158,0
1,49,77,0,68500000,7029721,0
1,49,77,0,69000000,7080285,0
1,49,77,0,69500000,7130818,0
1,49,77,0,70000000,7181355,0
1,49,77,0,70500000,7231886,0
1,49,77,0,71000000,7282411,0
1,49,77,0,71500000,7332931,0
1,49,77,0,72000000,7383442,0
1,49,77,0,72500000,7433974,0
1,49,77,0,73000000,7484494,0
1,49,77,0,73500000,7535007,0
1,49,77,0,74000000,7585529,0
1,49,77,0,74500000,7636042,0
1,49,77,0,75000000,7686526,0
1,49,77,0,75500000,7737045,0
1,49,77,0,76000000,7787539,0
1,49,77,0,76500000,7838017,0
1,49,77,0,77000000,7888518,0
1,49,77,0,77500000,7938998,0
1,49,77,0,78000000,7989501,0
1,49,77,0,78500000,8040007,0
1,49,77,0,79000000,8090543,0
1,49,77,0,79500000,8141038,0
1,49,77,0,80000000,8191565,0
1,49,77,0,80500000,8242065,0
1,49,77,0,81000000,8292583,0
1,49,77,0,81500000,8343075,0
1,49,77,0,82000000,8393603,0
1,49,77,0,82500000,8444157,0
1,49,77,0,83000000,8494664,0
1,49,77,0,83500000,8545196,0
1,49,77,0,84000000,8595699,0
1,49,77,0,84500000,8646185,0
1,49,77,0,85000000,8696680,0
1,49,77,0,85500000,8747204,0
1,49,77,0,86000000,8797795,0
1,49,77,0,86500000,8848279,0
1,49,77,0,87000000,8898768,0
1,49,77,0,87500000,8949303,0
1,49,77,0,88000000,8999796,0
1,49,77,0,88500000,9050309,0
1,49,77,0,89000000,9100801,0
1,49,77,0,89500000,9151290,0
1,49,77,0,90000000,9201773,0
1,49,77,1,500000,114809,0
1,49,77,1,1000000,185640,0
1,49,77,1,1500000,236497,0
1,49,77,1,2000000,287257,0
1,49,77,1,2500000,337972,0
1,49,77,1,3000000,388643,0
1,49,77,1,3500000,439353,0
1,49,77,1,4000000,490026,0
1,49,77,1,4500000,540866,0
1,49,77,1,5000000,591730,0
1,49,77,1,5500000,642644,0
1,49,77,1,6000000,693564,0
1,49,77,1,6500000,744397,0
1,49,77,1,7000000,795120,0
1,49,77,1,7500000,845842,0
1,49,77,1,8000000,896597,0
1,49,77,1,8500000,947235,0
1,49,77,1,9000000,997832,0
1,49,77,1,9500000,1048458,0
1,49,77,1,10000000,1099087,0
1,49,77,1,10500000,1149699,0
1,49,77,1,11000000,1200321,0
1,49,77,1,11500000,1250980,0
1,49,77,1,12000000,1301650,0
1,49,77,1,12500000,1352399,0
1,49,77,1,13000000,1403005,0
1,49,77,1,13500000,1453619,0
1,49,77,1,14000000,1504215,0
1,49,77,1,14500000,1554813,0
1,49,77,1,15000000,1605413,0
1,49,77,1,15500000,1655997,0
1,49,77,1,16000000,1706598,0
1,49,77,1,16500000,1757188,0
1,49,77,1,17000000,1807790,0
1,49,77,1,17500000,1858384,0
1,49,77,1,18000000,1908981,0
1,49,77,1,18500000,1959570,0
1,49,77,1,19000000,2010173,0
1,49,77,1,19500000,2060758,0
1,49,77,1,20000000,2111305,0
1,49,77,1,20500000,2161795,0
1,49,77,1,21000000,2212271,0
1,49,77,1,21500000,2262802,0
1,49,77,1,22000000,2313304,0
1,49,77,1,22500000,2363791,0
1,49,77,1,23000000,2414296,0
1,49,77,1,23500000,2464805,0
1,49,77,1,24000000,2515316,0
1,49,77,1,24500000,2565816,0
1,49,77,1,25000000,2616315,0
1,49,77,1,25500000,2666796,0
1,49,77,1,26000000,2717261,0
1,49,77,1,26500000,2767746,0
1,49,77,1,27000000,2818216,0
1,49,77,1,27500000,2868681,0
1,49,77,1,28000000,2919141,0
1,49,77,1,28500000,2969627,0
1,49,77,1,29000000,3020123,0
1,49,77,1,29500000,3070639,0
1,49,77,1,30000000,3121109,0
1,49,77,1,30500000,3171587,0
1,49,77,1,31000000,3222064,0
1,49,77,1,31500000,3272552,0
1,49,77,1,32000000,3323024,0
1,49,77,1,32500000,3373487,0
1,49,77,1,33000000,3423971,0
1,49,77,1,33500000,3474478,0
1,49,77,1,34000000,3524975,0
1,49,77,1,34500000,3575482,0
1,49,77,1,35000000,3626038,0
1,49,77,1,35500000,3676578,0
1,49,77,1,36000000,3727081,0
1,49,77,1,36500000,3777566,0
1,49,77,1,37000000,3828034,0
1,49,77,1,37500000,3878516,0
1,49,77,1,38000000,3928993,0
1,49,77,1,38500000,3979444,0
1,49,77,1,39000000,4029912,0
1,49,77,1,39500000,4080408,0
1,49,77,1,40000000,4130891,0
1,49,77,1,40500000,4181359,0
1,49,77,1,41000000,4231838,0
1,49,77,1,41500000,4282316,0
1,49,77,1,42000000,4332808,0
1,49,77,1,42500000,4383261,0
1,49,77,1,43000000,4433737,0
1,49,77,1,43500000,4484222,0
1,49,77,1,44000000,4534690,0
1,49,77,1,44500000,4585187,0
1,49,77,1,45000000,4635704,0
1,49,77,1,45500000,4686235,0
1,49,77,1,46000000,4736689,0
1,49,77,1,46500000,4787158,0
1,49,77,1,47000000,4837635,0
1,49,77,1,47500000,4888113,0
1,49,77,1,48000000,4938601,0
1,49,77,1,48500000,4989077,0
1,49,77,1,49000000,5039581,0
1,49,77,1,49500000,5090068,0
1,49,77,1,50000000,5140541,0
1,49,77,1,50500000,5191004,0
1,49,77,1,51000000,5241456,0
1,49,77,1,51500000,5291920,0
1,49,77,1,52000000,5342376,0
