context_length,alpha,beta,adapt,pretrain,bpc,time_microsec
1,49,77,0,1,7.48976,307440568
1,49,77,1,1,7.49837,311130055
2,49,77,0,1,6.95588,345714152
2,49,77,1,1,6.92111,351857593
3,49,77,0,1,5.9906,368619935
3,49,77,1,1,5.4393,377259800
4,49,77,0,1,5.50824,380393020
4,49,77,1,1,3.58461,394597969
5,49,77,0,1,5.69945,385155627
5,49,77,1,1,2.49223,407845282
6,49,77,0,1,5.86279,387949247
6,49,77,1,1,2.0495,417534345
7,49,77,0,1,5.90362,390022369
7,49,77,1,1,1.88588,421665661
8,49,77,0,1,5.92806,390063535
8,49,77,1,1,1.82837,429547874
9,49,77,0,1,5.95154,390969421
9,49,77,1,1,1.81363,434067650
10,49,77,0,1,5.96403,445159849
10,49,77,1,1,1.81724,435732639
11,49,77,0,1,5.96901,389821744
11,49,77,1,1,1.82847,440505999
12,49,77,0,1,5.97635,392051659
12,49,77,1,1,1.84412,444232247
13,49,77,0,1,5.97783,391900505
13,49,77,1,1,1.86086,446500788
14,49,77,0,1,5.97812,392187435
14,49,77,1,1,1.87676,448685162
15,49,77,0,1,5.97837,396482133
15,49,77,1,1,1.8904,449148386
16,49,77,0,1,5.97843,391960968
16,49,77,1,1,1.90231,451296013
17,49,77,0,1,5.97846,392805838
17,49,77,1,1,1.91231,452570863
18,49,77,0,1,5.97848,398018120
18,49,77,1,1,1.92075,453589710
19,49,77,0,1,5.97849,392475382
19,49,77,1,1,1.92763,454857784
20,49,77,0,1,5.97849,392935519
20,49,77,1,1,1.9333,457715895
