context_length,alpha,beta,adapt,pretrain,chars_processed,time_microsec,bpc
1,49,77,0,1,500000,86116,0
1,49,77,0,1,1000000,137702,0
1,49,77,0,1,1500000,189214,0
1,49,77,0,1,2000000,241050,0
1,49,77,0,1,2500000,292649,0
1,49,77,0,1,3000000,344087,0
1,49,77,0,1,3500000,395508,0
1,49,77,0,1,4000000,446889,0
1,49,77,0,1,4500000,498294,0
1,49,77,0,1,5000000,549657,0
1,49,77,0,1,5500000,600994,0
1,49,77,0,1,6000000,652341,0
1,49,77,0,1,6500000,703737,0
1,49,77,0,1,7000000,755111,0
1,49,77,0,1,7500000,806477,0
1,49,77,0,1,8000000,857871,0
1,49,77,0,1,8500000,909164,0
1,49,77,0,1,9000000,960437,0
1,49,77,0,1,9500000,1012202,0
1,49,77,0,1,10000000,1101468,0
1,49,77,0,1,10500000,1170104,0
1,49,77,0,1,11000000,1221268,0
1,49,77,0,1,11500000,1272480,0
1,49,77,0,1,12000000,1323658,0
1,49,77,0,1,12500000,1374826,0
1,49,77,0,1,13000000,1425985,0
1,49,77,0,1,13500000,1477152,0
1,49,77,0,1,14000000,1528343,0
1,49,77,0,1,14500000,1579532,0
1,49,77,0,1,15000000,1630681,0
1,49,77,0,1,15500000,1681803,0
1,49,77,0,1,16000000,1732952,0
1,49,77,0,1,16500000,1784091,0
1,49,77,0,1,17000000,1835243,0
1,49,77,0,1,17500000,1886374,0
1,49,77,0,1,18000000,1937516,0
1,49,77,0,1,18500000,1988651,0
1,49,77,0,1,19000000,2040092,0
1,49,77,0,1,19500000,2091132,0
1,49,77,0,1,20000000,2142127,0
1,49,77,0,1,20500000,2193133,0
1,49,77,0,1,21000000,2244286,0
1,49,77,0,1,21500000,2295291,0
1,49,77,0,1,22000000,2346281,0
1,49,77,0,1,22500000,2397262,0
1,49,77,0,1,23000000,2448337,0
1,49,77,0,1,23500000,2499378,0
1,49,77,0,1,24000000,2550376,0
1,49,77,0,1,24500000,2601378,0
1,49,77,0,1,25000000,2652379,0
1,49,77,0,1,25500000,2703367,0
1,49,77,0,1,26000000,2754391,0
1,49,77,0,1,26500000,2805394,0
1,49,77,0,1,27000000,2856381,0
1,49,77,0,1,27500000,2907353,0
1,49,77,0,1,28000000,2958328,0
1,49,77,0,1,28500000,3009754,0
1,49,77,0,1,29000000,3060832,0
1,49,77,0,1,29500000,3111881,0
1,49,77,0,1,30000000,3162930,0
1,49,77,0,1,30500000,3213984,0
1,49,77,0,1,31000000,3265038,0
1,49,77,0,1,31500000,3316107,0
1,49,77,0,1,32000000,3367165,0
1,49,77,0,1,32500000,3418258,0
1,49,77,0,1,33000000,3469350,0
1,49,77,0,1,33500000,3520480,0
1,49,77,0,1,34000000,3571584,0
1,49,77,0,1,34500000,3622668,0
1,49,77,0,1,35000000,3673679,0
1,49,77,0,1,35500000,3724668,0
1,49,77,0,1,36000000,3775681,0
1,49,77,0,1,36500000,3826674,0
1,49,77,0,1,37000000,3877652,0
1,49,77,0,1,37500000,3928632,0
1,49,77,0,1,38000000,3979628,0
1,49,77,0,1,38500000,4030671,0
1,49,77,0,1,39000000,4081657,0
1,49,77,0,1,39500000,4132635,0
1,49,77,0,1,40000000,4183609,0
1,49,77,0,1,40500000,4234587,0
1,49,77,0,1,41000000,4285634,0
1,49,77,0,1,41500000,4336684,0
1,49,77,0,1,42000000,4387769,0
1,49,77,0,1,42500000,4438741,0
1,49,77,0,1,43000000,4489717,0
1,49,77,0,1,43500000,4540710,0
1,49,77,0,1,44000000,4591696,0
1,49,77,0,1,44500000,4642695,0
1,49,77,0,1,45000000,4693677,0
1,49,77,0,1,45500000,4744661,0
1,49,77,0,1,46000000,4795626,0
1,49,77,0,1,46500000,4846600,0
1,49,77,0,1,47000000,4897567,0
1,49,77,0,1,47500000,4948539,0
1,49,77,0,1,48000000,4999540,0
1,49,77,0,1,48500000,5050508,0
1,49,77,0,1,49000000,5101468,0
1,49,77,0,1,49500000,5152438,0
1,49,77,0,1,50000000,5203405,0
1,49,77,0,1,50500000,5254356,0
1,49,77,0,1,51000000,5305325,0
1,49,77,0,1,51500000,5356289,0
1,49,77,0,1,52000000,5407255,0
1,49,77,0,1,52500000,5458227,0
1,49,77,0,1,53000000,5509185,0
1,49,77,0,1,53500000,5560174,0
1,49,77,0,1,54000000,5611182,0
1,49,77,0,1,54500000,5662162,0
1,49,77,0,1,55000000,5713123,0
1,49,77,0,1,55500000,5764094,0
1,49,77,0,1,56000000,5815058,0
1,49,77,0,1,56500000,5866029,0
1,49,77,0,1,57000000,5916985,0
1,49,77,0,1,57500000,5967967,0
1,49,77,0,1,58000000,6018939,0
1,49,77,0,1,58500000,6069930,0
1,49,77,0,1,59000000,6120923,0
1,49,77,0,1,59500000,6171891,0
1,49,77,0,1,60000000,6222871,0
