context_length,alpha,beta,adapt,pretrain,bpc,time_microsec
1,49,77,1,0,6.7107,230748214
2,49,77,1,0,4.86137,258852077
3,49,77,1,0,3.0817,275690922
4,49,77,1,0,2.12327,287653270
5,49,77,1,0,1.72762,294907687
6,49,77,1,0,1.59852,302027880
7,49,77,1,0,1.56772,307615078
8,49,77,1,0,1.57333,312412492
9,49,77,1,0,1.593,315897277
10,49,77,1,0,1.61644,319859929
11,49,77,1,0,1.63974,321564143
12,49,77,1,0,1.66162,323273522
13,49,77,1,0,1.68139,324661586
14,49,77,1,0,1.69888,325747362
15,49,77,1,0,1.71355,328047228
16,49,77,1,0,1.72601,327928333
17,49,77,1,0,1.73636,328763843
18,49,77,1,0,1.74497,330052548
19,49,77,1,0,1.75194,331133118
20,49,77,1,0,1.75766,331082242
