context_length,alpha,beta,adapt,pretrain,bpc,time_microsec
1,0,0,0,1,7.54883,308048463
1,0,0,1,1,7.5395,309438571
2,0,0,0,1,7.05544,347678363
2,0,0,1,1,7.07307,349110536
3,0,0,0,1,6.0405,374477869
3,0,0,1,1,6.05628,380226548
4,0,0,0,1,4.74179,394077362
4,0,0,1,1,4.76915,397166448
5,0,0,0,1,3.65122,412423693
5,0,0,1,1,3.65971,415123365
6,0,0,0,1,2.8703,430046606
6,0,0,1,1,2.87361,432466018
7,0,0,0,1,2.38114,444809850
7,0,0,1,1,2.37446,447788061
8,0,0,0,1,2.13398,456903505
8,0,0,1,1,2.11927,458531773
9,0,0,0,1,2.05403,461661181
9,0,0,1,1,2.02789,460197222
10,0,0,0,1,2.08318,469534680
10,0,0,1,1,2.05137,473128173
11,0,0,0,1,2.18503,479241674
11,0,0,1,1,2.14649,483593923
12,0,0,0,1,2.32485,489107198
12,0,0,1,1,2.28173,493782570
13,0,0,0,1,2.47555,496663985
13,0,0,1,1,2.43021,501443783
14,0,0,0,1,2.62562,503718389
14,0,0,1,1,2.57814,505542213
15,0,0,0,1,2.76157,505261727
15,0,0,1,1,2.71289,508106135
16,0,0,0,1,2.88486,506234124
16,0,0,1,1,2.83492,509267526
17,0,0,0,1,2.99029,506811467
17,0,0,1,1,2.93978,511405907
18,0,0,0,1,3.08026,508918170
18,0,0,1,1,3.02931,513563468
19,0,0,0,1,3.15523,509635098
19,0,0,1,1,3.1043,516449023
20,0,0,0,1,3.21687,511216978
20,0,0,1,1,3.166,517465870
