context_length,alpha,beta,adapt,pretrain,chars_processed,time_microsec,bpc
1,0,0,0,1,500000,85886,0
1,0,0,0,1,1000000,137538,0
1,0,0,0,1,1500000,189108,0
1,0,0,0,1,2000000,240613,0
1,0,0,0,1,2500000,292085,0
1,0,0,0,1,3000000,344038,0
1,0,0,0,1,3500000,395485,0
1,0,0,0,1,4000000,446915,0
1,0,0,0,1,4500000,498248,0
1,0,0,0,1,5000000,549548,0
1,0,0,0,1,5500000,600831,0
1,0,0,0,1,6000000,652126,0
1,0,0,0,1,6500000,703523,0
1,0,0,0,1,7000000,754951,0
1,0,0,0,1,7500000,806354,0
1,0,0,0,1,8000000,857826,0
1,0,0,0,1,8500000,909157,0
1,0,0,0,1,9000000,960448,0
1,0,0,0,1,9500000,1011741,0
1,0,0,0,1,10000000,1063046,0
1,0,0,0,1,10500000,1114360,0
1,0,0,0,1,11000000,1166180,0
1,0,0,0,1,11500000,1263650,0
1,0,0,0,1,12000000,1323409,0
1,0,0,0,1,12500000,1374656,0
1,0,0,0,1,13000000,1425836,0
1,0,0,0,1,13500000,1477017,0
1,0,0,0,1,14000000,1535105,0
1,0,0,0,1,14500000,1586300,0
1,0,0,0,1,15000000,1637488,0
1,0,0,0,1,15500000,1688647,0
1,0,0,0,1,16000000,1739824,0
1,0,0,0,1,16500000,1791001,0
1,0,0,0,1,17000000,1842177,0
1,0,0,0,1,17500000,1893341,0
1,0,0,0,1,18000000,1944550,0
1,0,0,0,1,18500000,1995748,0
1,0,0,0,1,19000000,2047316,0
1,0,0,0,1,19500000,2098507,0
1,0,0,0,1,20000000,2149617,0
1,0,0,0,1,20500000,2200701,0
1,0,0,0,1,21000000,2251776,0
1,0,0,0,1,21500000,2302873,0
1,0,0,0,1,22000000,2353983,0
1,0,0,0,1,22500000,2405080,0
1,0,0,0,1,23000000,2456194,0
1,0,0,0,1,23500000,2507321,0
1,0,0,0,1,24000000,2558424,0
1,0,0,0,1,24500000,2609517,0
1,0,0,0,1,25000000,2660627,0
1,0,0,0,1,25500000,2711703,0
1,0,0,0,1,26000000,2762777,0
1,0,0,0,1,26500000,2813878,0
1,0,0,0,1,27000000,2864946,0
1,0,0,0,1,27500000,2916022,0
1,0,0,0,1,28000000,2967097,0
1,0,0,0,1,28500000,3018168,0
1,0,0,0,1,29000000,3069266,0
1,0,0,0,1,29500000,3120344,0
1,0,0,0,1,30000000,3171425,0
1,0,0,0,1,30500000,3222521,0
1,0,0,0,1,31000000,3273604,0
1,0,0,0,1,31500000,3324687,0
1,0,0,0,1,32000000,3375764,0
1,0,0,0,1,32500000,3426834,0
1,0,0,0,1,33000000,3477919,0
1,0,0,0,1,33500000,3529016,0
1,0,0,0,1,34000000,3580099,0
1,0,0,0,1,34500000,3631172,0
1,0,0,0,1,35000000,3682266,0
1,0,0,0,1,35500000,3733350,0
1,0,0,0,1,36000000,3784442,0
1,0,0,0,1,36500000,3835519,0
1,0,0,0,1,37000000,3886586,0
1,0,0,0,1,37500000,3937670,0
1,0,0,0,1,38000000,3988744,0
1,0,0,0,1,38500000,4039900,0
1,0,0,0,1,39000000,4090990,0
1,0,0,0,1,39500000,4142063,0
1,0,0,0,1,40000000,4193143,0
1,0,0,0,1,40500000,4244215,0
1,0,0,0,1,41000000,4295300,0
1,0,0,0,1,41500000,4346363,0
1,0,0,0,1,42000000,4397495,0
1,0,0,0,1,42500000,4448653,0
1,0,0,0,1,43000000,4499728,0
1,0,0,0,1,43500000,4550810,0
1,0,0,0,1,44000000,4601889,0
1,0,0,0,1,44500000,4652984,0
1,0,0,0,1,45000000,4704055,0
1,0,0,0,1,45500000,4755147,0
1,0,0,0,1,46000000,4806209,0
1,0,0,0,1,46500000,4857288,0
1,0,0,0,1,47000000,4908432,0
1,0,0,0,1,47500000,4959517,0
1,0,0,0,1,48000000,5010608,0
1,0,0,0,1,48500000,5061698,0
1,0,0,0,1,49000000,5112783,0
1,0,0,0,1,49500000,5163881,0
1,0,0,0,1,50000000,5214947,0
1,0,0,0,1,50500000,5265998,0
1,0,0,0,1,51000000,5317076,0
1,0,0,0,1,51500000,5368187,0
1,0,0,0,1,52000000,5419266,0
1,0,0,0,1,52500000,5470346,0
1,0,0,0,1,53000000,5521400,0
1,0,0,0,1,53500000,5572469,0
1,0,0,0,1,54000000,5623562,0
1,0,0,0,1,54500000,5674655,0
1,0,0,0,1,55000000,5725727,0
1,0,0,0,1,55500000,5776784,0
1,0,0,0,1,56000000,5827848,0
1,0,0,0,1,56500000,5878918,0
1,0,0,0,1,57000000,5929983,0
1,0,0,0,1,57500000,5981049,0
1,0,0,0,1,58000000,6032117,0
1,0,0,0,1,58500000,6083408,0
1,0,0,0,1,59000000,6135090,0
1,0,0,0,1,59500000,6186185,0
1,0,0,0,1,60000000,6237285,0
1,0,0,0,1,60500000,6288389,0
1,0,0,0,1,61000000,6339484,0
1,0,0,0,1,61500000,6390581,0
1,0,0,0,1,62000000,6441649,0
1,0,0,0,1,62500000,6492740,0
1,0,0,0,1,63000000,6543844,0
1,0,0,0,1,63500000,6594944,0
1,0,0,0,1,64000000,6646058,0
1,0,0,0,1,64500000,6697149,0
1,0,0,0,1,65000000,6748315,0
1,0,0,0,1,65500000,6799483,0
1,0,0,0,1,66000000,6850748,0
1,0,0,0,1,66500000,6901896,0
1,0,0,0,1,67000000,6953014,0
1,0,0,0,1,67500000,7004175,0
1,0,0,0,1,68000000,7055311,0
1,0,0,0,1,68500000,7106452,0
1,0,0,0,1,69000000,7157605,0
1,0,0,0,1,69500000,7208773,0
1,0,0,0,1,70000000,7259917,0
1,0,0,0,1,70500000,7311059,0
1,0,0,0,1,71000000,7362207,0
1,0,0,0,1,71500000,7413353,0
1,0,0,0,1,72000000,7464476,0
1,0,0,0,1,72500000,7515619,0
1,0,0,0,1,73000000,7566739,0
1,0,0,0,1,73500000,7617856,0
1,0,0,0,1,74000000,7668973,0
1,0,0,0,1,74500000,7720074,0
1,0,0,0,1,75000000,7771269,0
1,0,0,0,1,75500000,7822488,0
1,0,0,0,1,76000000,7873675,0
1,0,0,0,1,76500000,7924767,0
1,0,0,0,1,77000000,7975873,0
1,0,0,0,1,77500000,8026967,0
1,0,0,0,1,78000000,8078083,0
1,0,0,0,1,78500000,8129209,0
1,0,0,0,1,79000000,8180358,0
1,0,0,0,1,79500000,8231462,0
1,0,0,0,1,80000000,8282595,0
1,0,0,0,1,80500000,8333721,0
1,0,0,0,1,81000000,8384851,0
1,0,0,0,1,81500000,8435963,0
1,0,0,0,1,82000000,8487094,0
1,0,0,0,1,82500000,8538240,0
1,0,0,0,1,83000000,8589375,0
