context_length,alpha,beta,adapt,bpc,time_microsec
1,49,77,0,7.57344,309667668
1,49,77,1,7.53312,310816095
2,49,77,0,7.04262,352032190
2,49,77,1,7.04353,352264588
3,49,77,0,6.03226,379754027
3,49,77,1,6.03678,380894553
4,49,77,0,4.77072,399992282
4,49,77,1,4.7816,401202226
5,49,77,0,3.63047,416515468
5,49,77,1,3.63974,417481114
6,49,77,0,2.77217,431606788
6,49,77,1,2.77276,433110318
7,49,77,0,2.18443,443894303
7,49,77,1,2.17564,445105310
8,49,77,0,1.81959,453999479
8,49,77,1,1.80358,458390301
9,49,77,0,1.60486,463281816
9,49,77,1,1.58167,465988661
10,49,77,0,1.48483,475496600
10,49,77,1,1.45644,477868965
11,49,77,0,1.42353,482357674
11,49,77,1,1.39105,483189128
12,49,77,0,1.39455,486401842
12,49,77,1,1.35937,486680786
13,49,77,0,1.3863,491763935
13,49,77,1,1.34818,495538261
14,49,77,0,1.39012,499394658
14,49,77,1,1.35077,503929156
15,49,77,0,1.4013,506281887
15,49,77,1,1.36035,511415109
16,49,77,0,1.41663,510860197
16,49,77,1,1.37444,513858345
17,49,77,0,1.4334,512465595
17,49,77,1,1.39031,518008383
18,49,77,0,1.44982,513436972
18,49,77,1,1.40631,522129979
19,49,77,0,1.4654,518755808
19,49,77,1,1.42158,519708655
20,49,77,0,1.48018,516262370
20,49,77,1,1.43591,521988515
