context_length,alpha,beta,adapt,chars_processed,time_microsec,bpc
1,49,77,0,500000,51929,0
1,49,77,0,1000000,102927,0
1,49,77,0,1500000,153796,0
1,49,77,0,2000000,204561,0
1,49,77,0,2500000,255407,0
1,49,77,0,3000000,306172,0
1,49,77,0,3500000,356857,0
1,49,77,0,4000000,407569,0
1,49,77,0,4500000,458238,0
1,49,77,0,5000000,508951,0
1,49,77,0,5500000,559692,0
1,49,77,0,6000000,610470,0
1,49,77,0,6500000,661197,0
1,49,77,0,7000000,711925,0
1,49,77,0,7500000,762760,0
1,49,77,0,8000000,813446,0
1,49,77,0,8500000,864122,0
1,49,77,0,9000000,914789,0
1,49,77,0,9500000,965484,0
1,49,77,0,10000000,1016161,0
1,49,77,0,10500000,1066827,0
1,49,77,0,11000000,1117509,0
1,49,77,0,11500000,1168250,0
1,49,77,0,12000000,1218930,0
1,49,77,0,12500000,1269605,0
1,49,77,0,13000000,1320267,0
1,49,77,0,13500000,1370935,0
1,49,77,0,14000000,1421746,0
1,49,77,0,14500000,1472397,0
1,49,77,0,15000000,1523076,0
1,49,77,0,15500000,1573742,0
1,49,77,0,16000000,1624408,0
1,49,77,0,16500000,1675059,0
1,49,77,0,17000000,1725720,0
1,49,77,0,17500000,1776400,0
1,49,77,0,18000000,1827054,0
1,49,77,0,18500000,1877704,0
1,49,77,0,19000000,1928372,0
1,49,77,0,19500000,1979043,0
1,49,77,0,20000000,2029741,0
1,49,77,0,20500000,2080417,0
1,49,77,0,21000000,2131069,0
1,49,77,0,21500000,2181731,0
1,49,77,0,22000000,2233134,0
1,49,77,0,22500000,2283809,0
1,49,77,0,23000000,2334472,0
1,49,77,0,23500000,2385158,0
1,49,77,0,24000000,2435830,0
1,49,77,0,24500000,2486482,0
1,49,77,0,25000000,2537152,0
1,49,77,0,25500000,2587902,0
1,49,77,0,26000000,2638551,0
1,49,77,0,26500000,2689235,0
1,49,77,0,27000000,2739917,0
1,49,77,0,27500000,2790600,0
1,49,77,0,28000000,2841259,0
