context_length,alpha,beta,adapt,pretrain,chars_processed,time_microsec,bpc
1,49,77,0,1,0,115238192,8.01003
1,49,77,0,1,10000000,388440945,7.37744
1,49,77,0,1,20000000,681303887,7.46549
1,49,77,0,1,30000000,973722239,7.48662
1,49,77,0,1,40000000,1263606534,7.50908
1,49,77,0,1,50000000,1558721083,7.49796
1,49,77,0,1,60000000,1863198215,7.54311
1,49,77,0,1,70000000,-2124903679,7.54337
1,49,77,0,1,80000000,-1803866275,7.54563
1,49,77,0,1,90000000,-1462124028,7.56363
2,49,77,0,1,0,122813509,8.01003
2,49,77,0,1,10000000,434789044,6.24944
2,49,77,0,1,20000000,759709792,6.61113
2,49,77,0,1,30000000,1085498070,6.79799
2,49,77,0,1,40000000,1427089975,6.87394
2,49,77,0,1,50000000,1772860293,6.94687
2,49,77,0,1,60000000,2117453084,6.98701
2,49,77,0,1,70000000,-1835223770,6.98725
2,49,77,0,1,80000000,-1474407432,7.06031
2,49,77,0,1,90000000,-1091853603,7.10139
3,49,77,0,1,0,115368791,8.01003
3,49,77,0,1,10000000,440600192,4.48217
3,49,77,0,1,20000000,779676707,5.0764
3,49,77,0,1,30000000,1118147814,5.43491
3,49,77,0,1,40000000,1465245886,5.66613
3,49,77,0,1,50000000,1812282911,5.78727
3,49,77,0,1,60000000,-2125157149,5.92449
3,49,77,0,1,70000000,-1757414162,5.98789
3,49,77,0,1,80000000,-1366755574,6.08416
3,49,77,0,1,90000000,-950046392,6.12451
4,49,77,0,1,0,120107762,8.01003
4,49,77,0,1,10000000,462841929,3.04352
4,49,77,0,1,20000000,816647148,3.60761
4,49,77,0,1,30000000,1185267958,3.95286
4,49,77,0,1,40000000,1552133824,4.24375
4,49,77,0,1,50000000,1916305211,4.41911
4,49,77,0,1,60000000,-2003995382,4.58109
4,49,77,0,1,70000000,-1630490973,4.70525
4,49,77,0,1,80000000,-1241473514,4.77454
4,49,77,0,1,90000000,-828322306,4.8626
5,49,77,0,1,0,110014561,8.01003
5,49,77,0,1,10000000,445063732,2.2206
5,49,77,0,1,20000000,801071435,2.59837
5,49,77,0,1,30000000,1165057991,2.89026
5,49,77,0,1,40000000,1535934965,3.11935
5,49,77,0,1,50000000,1912262374,3.28616
5,49,77,0,1,60000000,-2003189105,3.42775
5,49,77,0,1,70000000,-1612483035,3.55573
5,49,77,0,1,80000000,-1206927379,3.63671
5,49,77,0,1,90000000,-776197053,3.7282
6,49,77,0,1,0,113781322,8.01003
6,49,77,0,1,10000000,462807738,1.81894
6,49,77,0,1,20000000,834538983,2.03422
6,49,77,0,1,30000000,1214364532,2.2118
6,49,77,0,1,40000000,1600899879,2.38472
6,49,77,0,1,50000000,1993299784,2.50406
6,49,77,0,1,60000000,-1906374164,2.62595
6,49,77,0,1,70000000,-1498360724,2.70292
6,49,77,0,1,80000000,-1073842684,2.77326
6,49,77,0,1,90000000,-626792491,2.8482
7,49,77,0,1,0,109024589,8.01003
7,49,77,0,1,10000000,466152031,1.65366
7,49,77,0,1,20000000,846996303,1.74317
7,49,77,0,1,30000000,1237238646,1.83765
7,49,77,0,1,40000000,1635238287,1.94223
7,49,77,0,1,50000000,2039812655,2.01884
7,49,77,0,1,60000000,-1846559469,2.09626
7,49,77,0,1,70000000,-1435281959,2.14098
7,49,77,0,1,80000000,-1003007260,2.19204
7,49,77,0,1,90000000,-542964502,2.23712
8,49,77,0,1,0,113235104,8.01003
8,49,77,0,1,10000000,478772447,1.58988
8,49,77,0,1,20000000,868359645,1.60683
8,49,77,0,1,30000000,1269075936,1.65007
8,49,77,0,1,40000000,1678818860,1.69971
8,49,77,0,1,50000000,2094165750,1.74603
8,49,77,0,1,60000000,-1787407649,1.79431
8,49,77,0,1,70000000,-1366229159,1.80486
8,49,77,0,1,80000000,-922355353,1.83158
8,49,77,0,1,90000000,-450690283,1.86066
9,49,77,0,1,0,109297275,8.01003
9,49,77,0,1,10000000,481545907,1.57582
9,49,77,0,1,20000000,879742937,1.55091
9,49,77,0,1,30000000,1289427404,1.55857
9,49,77,0,1,40000000,1708652753,1.57913
