context_length,chars_processed,time_microsec,num_nodes,num_child_slots
1,5000,1439,587,0
1,10000,2729,754,0
1,15000,3954,837,0
1,20000,5147,880,0
1,25000,6264,949,0
1,30000,7375,995,0
1,35000,8473,1028,0
1,40000,9580,1072,0
1,45000,10661,1106,0
1,50000,11740,1114,0
1,55000,12824,1140,0
1,60000,13911,1156,0
1,65000,14963,1194,0
1,70000,15982,1233,0
1,75000,16990,1243,0
1,80000,18012,1279,0
1,85000,19018,1301,0
1,90000,20032,1315,0
1,95000,21047,1323,0
1,100000,22059,1336,0
1,105000,23072,1347,0
1,110000,24080,1362,0
1,115000,25089,1372,0
1,120000,26060,1381,0
1,125000,27021,1394,0
1,130000,27969,1406,0
1,135000,28934,1421,0
1,140000,29888,1447,0
1,145000,30836,1460,0
1,150000,31769,1463,0
1,155000,32717,1470,0
1,160000,33664,1477,0
1,165000,34604,1486,0
1,170000,35548,1492,0
1,175000,36448,1503,0
1,180000,37335,1513,0
1,185000,38238,1523,0
1,190000,39138,1529,0
1,195000,40032,1533,0
1,200000,40933,1542,0
1,205000,41834,1546,0
1,210000,42722,1552,0
1,215000,43613,1556,0
1,220000,44513,1560,0
1,225000,45412,1566,0
1,230000,46268,1577,0
1,235000,47121,1581,0
1,240000,47972,1586,0
1,245000,48819,1592,0
1,250000,49661,1597,0
1,255000,50514,1605,0
1,260000,51367,1609,0
1,265000,52215,1613,0
1,270000,53069,1616,0
1,275000,53920,1620,0
1,280000,54760,1622,0
1,285000,55591,1628,0
1,287004,55935,1629,5257
2,5000,1544,2198,0
2,10000,2917,3373,0
2,15000,4149,4051,0
2,20000,5329,4515,0
2,25000,6465,4921,0
2,30000,7602,5272,0
2,35000,8718,5537,0
2,40000,9768,5842,0
2,45000,10807,6093,0
2,50000,11837,6255,0
2,55000,12867,6476,0
2,60000,13878,6664,0
2,65000,14926,6889,0
2,70000,15952,7105,0
2,75000,16940,7225,0
2,80000,17970,7434,0
2,85000,18977,7609,0
2,90000,19942,7755,0
2,95000,20904,7886,0
2,100000,21860,8029,0
2,105000,22810,8160,0
2,110000,24004,8278,0
2,115000,24962,8389,0
2,120000,25918,8509,0
2,125000,26877,8662,0
2,130000,27817,8756,0
2,135000,28693,8879,0
2,140000,29479,9038,0
2,145000,30244,9145,0
2,150000,31008,9208,0
2,155000,31783,9286,0
2,160000,32570,9398,0
2,165000,33343,9492,0
2,170000,34109,9577,0
2,175000,34885,9686,0
2,180000,35645,9761,0
2,185000,36423,9864,0
2,190000,37180,9942,0
2,195000,37958,10006,0
2,200000,38728,10088,0
2,205000,39494,10159,0
2,210000,40244,10217,0
2,215000,41005,10275,0
2,220000,41765,10343,0
2,225000,42522,10406,0
2,230000,43295,10500,0
2,235000,44048,10559,0
2,240000,44807,10627,0
2,245000,45567,10684,0
2,250000,46330,10728,0
2,255000,47083,10789,0
2,260000,47832,10827,0
2,265000,48601,10893,0
2,270000,49360,10943,0
2,275000,50112,11002,0
2,280000,50869,11053,0
2,285000,51621,11109,0
2,287004,51929,11125,33546
3,5000,1412,4787,0
3,10000,2927,8377,0
3,15000,4259,10808,0
3,20000,5497,12660,0
3,25000,6673,14183,0
3,30000,7860,15620,0
3,35000,9216,16724,0
3,40000,10352,17921,0
3,45000,11468,18976,0
3,50000,12539,19785,0
3,55000,13624,20737,0
3,60000,14684,21569,0
3,65000,15781,22455,0
3,70000,16838,23281,0
3,75000,17863,23897,0
3,80000,19107,24665,0
3,85000,20166,25412,0
3,90000,21221,26106,0
3,95000,22262,26732,0
3,100000,23306,27364,0
3,105000,24342,27996,0
3,110000,25355,28558,0
3,115000,26384,29152,0
3,120000,27414,29724,0
3,125000,28468,30418,0
3,130000,29477,30885,0
3,135000,30507,31441,0
3,140000,31524,32061,0
3,145000,32534,32567,0
3,150000,33736,32967,0
3,155000,34738,33411,0
3,160000,35831,33932,0
3,165000,36862,34399,0
3,170000,37872,34899,0
3,175000,38912,35389,0
3,180000,39890,35751,0
3,185000,40919,36266,0
3,190000,41931,36660,0
3,195000,42916,37017,0
3,200000,43879,37383,0
3,205000,44892,37757,0
3,210000,45870,38078,0
3,215000,46837,38419,0
3,220000,47834,38778,0
3,225000,48825,39081,0
3,230000,49804,39484,0
3,235000,50795,39809,0
3,240000,51787,40165,0
3,245000,52757,40498,0
3,250000,53736,40741,0
3,255000,54924,41014,0
3,260000,55867,41267,0
3,265000,56909,41637,0
3,270000,57883,41913,0
3,275000,58841,42236,0
3,280000,59826,42511,0
3,285000,60803,42780,0
3,287004,61200,42873,110671
4,5000,1622,8004,0
4,10000,3527,15037,0
4,15000,5395,20367,0
4,20000,7152,24745,0
4,25000,8706,28463,0
4,30000,10260,32039,0
4,35000,11882,34941,0
4,40000,13362,38004,0
4,45000,14801,40774,0
4,50000,16388,43151,0
4,55000,17798,45717,0
4,60000,19199,48006,0
4,65000,20824,50393,0
4,70000,22199,52562,0
4,75000,23543,54477,0
4,80000,24878,56532,0
4,85000,26498,58592,0
4,90000,27849,60616,0
4,95000,29234,62414,0
4,100000,30548,64228,0
4,105000,32146,66077,0
4,110000,33429,67706,0
4,115000,34753,69479,0
4,120000,36100,71189,0
4,125000,37479,73175,0
4,130000,38996,74641,0
4,135000,40337,76290,0
4,140000,41645,77994,0
4,145000,42925,79513,0
4,150000,44250,80874,0
4,155000,45738,82301,0
4,160000,47075,83824,0
4,165000,48331,85251,0
4,170000,49651,86795,0
4,175000,50930,88201,0
4,180000,52192,89416,0
4,185000,53746,90978,0
4,190000,55018,92266,0
4,195000,56293,93451,0
4,200000,57520,94617,0
4,205000,58795,95849,0
4,210000,60061,96959,0
4,215000,61298,98067,0
4,220000,62754,99234,0
4,225000,63976,100241,0
4,230000,65242,101429,0
4,235000,66451,102507,0
4,240000,67707,103642,0
4,245000,68966,104734,0
4,250000,70187,105593,0
4,255000,71603,106503,0
4,260000,72769,107364,0
4,265000,74086,108559,0
4,270000,75285,109496,0
4,275000,76520,110578,0
4,280000,77740,111486,0
4,285000,78936,112387,0
4,287004,79459,112739,243433
5,5000,1956,11662,0
5,10000,4121,22777,0
5,15000,6218,31802,0
5,20000,8266,39567,0
5,25000,10249,46390,0
5,30000,12219,52982,0
5,35000,14105,58557,0
5,40000,15824,64367,0
5,45000,17714,69714,0
5,50000,19562,74547,0
5,55000,21264,79640,0
5,60000,23108,84291,0
5,65000,24801,89131,0
5,70000,26637,93479,0
5,75000,28263,97559,0
5,80000,30052,101742,0
5,85000,31731,105990,0
5,90000,33558,110189,0
5,95000,35233,113982,0
5,100000,36976,117788,0
5,105000,38661,121724,0
5,110000,40416,125270,0
5,115000,42035,129047,0
5,120000,43861,132723,0
5,125000,45543,136851,0
5,130000,47376,140120,0
5,135000,49009,143709,0
5,140000,50634,147247,0
5,145000,52455,150586,0
5,150000,54065,153763,0
5,155000,55870,156975,0
5,160000,57489,160255,0
5,165000,59052,163398,0
5,170000,60875,166783,0
5,175000,62483,169856,0
5,180000,64247,172670,0
5,185000,65909,176086,0
5,190000,67500,179023,0
5,195000,69268,181776,0
5,200000,70814,184451,0
5,205000,72397,187283,0
5,210000,74213,189963,0
5,215000,75724,192574,0
5,220000,77312,195278,0
5,225000,79032,197727,0
5,230000,80616,200410,0
5,235000,82138,202963,0
5,240000,83942,205606,0
5,245000,85517,208213,0
5,250000,87026,210364,0
5,255000,88549,212586,0
5,260000,90261,214721,0
5,265000,91888,217479,0
5,270000,93427,219767,0
5,275000,95204,222318,0
5,280000,96708,224556,0
5,285000,98272,226769,0
5,287004,98896,227664,422246
6,5000,2150,15648,0
6,10000,4681,31244,0
6,15000,7172,44497,0
6,20000,9462,56268,0
6,25000,11877,66872,0
6,30000,14096,77162,0
6,35000,16238,86123,0
6,40000,18388,95401,0
6,45000,20548,104052,0
6,50000,22652,112087,0
6,55000,24788,120486,0
6,60000,26924,128295,0
6,65000,29050,136348,0
6,70000,31146,143638,0
6,75000,33243,150699,0
6,80000,35346,157787,0
6,85000,37464,164998,0
6,90000,39573,172130,0
6,95000,41514,178696,0
6,100000,43558,185248,0
6,105000,45665,192058,0
6,110000,47738,198298,0
6,115000,49801,204845,0
6,120000,51741,211301,0
6,125000,53940,218296,0
6,130000,56008,224117,0
6,135000,58136,230457,0
6,140000,60062,236581,0
6,145000,62151,242512,0
6,150000,64275,248332,0
6,155000,66396,254068,0
6,160000,68343,259852,0
6,165000,70439,265439,0
6,170000,72595,271426,0
6,175000,74515,276900,0
6,180000,76609,282089,0
6,185000,78827,288145,0
6,190000,80786,293509,0
6,195000,82900,298589,0
6,200000,85015,303496,0
6,205000,87002,308687,0
6,210000,89150,313734,0
6,215000,91040,318552,0
6,220000,93213,323558,0
6,225000,95368,328259,0
6,230000,97289,333186,0
6,235000,99415,337962,0
6,240000,101417,342853,0
6,245000,103621,347807,0
6,250000,105531,352036,0
6,255000,107694,356319,0
6,260000,109813,360492,0
6,265000,111891,365620,0
6,270000,114076,370016,0
6,275000,116056,374775,0
6,280000,118231,379124,0
6,285000,120211,383406,0
6,287004,121229,385148,636634
7,5000,2548,19863,0
7,10000,5343,40153,0
7,15000,8312,57975,0
7,20000,11019,74157,0
7,25000,13508,89013,0
7,30000,16153,103490,0
7,35000,18757,116393,0
7,40000,21154,129669,0
7,45000,23764,142159,0
7,50000,26163,153996,0
7,55000,28778,166306,0
7,60000,31164,177896,0
7,65000,33800,189749,0
7,70000,36207,200627,0
7,75000,38577,211335,0
7,80000,41175,221960,0
7,85000,43654,232782,0
7,90000,46075,243488,0
7,95000,48510,253492,0
7,100000,51086,263444,0
7,105000,53563,273823,0
7,110000,55988,283421,0
7,115000,58452,293386,0
7,120000,62807,303291,0
7,125000,65344,313788,0
7,130000,67812,322833,0
7,135000,70373,332616,0
7,140000,72837,342012,0
7,145000,75344,351198,0
7,150000,77845,360390,0
7,155000,80575,369325,0
7,160000,83105,378267,0
7,165000,85609,387001,0
7,170000,88143,396265,0
7,175000,90686,404855,0
7,180000,93171,413122,0
7,185000,95821,422487,0
7,190000,98375,430979,0
7,195000,100907,439066,0
7,200000,103445,446892,0
7,205000,106004,455151,0
7,210000,108579,463276,0
7,215000,111084,470981,0
7,220000,113670,478987,0
7,225000,116249,486700,0
7,230000,118816,494550,0
7,235000,121376,502230,0
7,240000,123973,510081,0
7,245000,126639,518105,0
7,250000,129173,525187,0
7,255000,131528,532205,0
7,260000,134067,539146,0
7,265000,136793,547364,0
7,270000,139410,554615,0
7,275000,142083,562321,0
7,280000,144725,569512,0
7,285000,147397,576599,0
7,287004,148421,579485,878083
8,5000,2735,24232,0
8,10000,6151,49326,0
8,15000,9146,71901,0
8,20000,12284,92737,0
8,25000,15192,112133,0
8,30000,18313,131121,0
8,35000,21145,148334,0
8,40000,23977,165950,0
8,45000,26820,182659,0
8,50000,29656,198727,0
8,55000,32518,215364,0
8,60000,35372,231142,0
8,65000,38286,247215,0
8,70000,41163,262159,0
8,75000,43803,277003,0
8,80000,46693,291636,0
8,85000,49651,306522,0
8,90000,52596,321293,0
8,95000,55331,335230,0
8,100000,58252,349068,0
8,105000,61243,363507,0
8,110000,64204,377000,0
8,115000,66960,390875,0
8,120000,70004,404720,0
8,125000,73050,419182,0
8,130000,75856,431991,0
8,135000,78982,445765,0
