context_length,chars_processed,time_microsec,num_nodes,num_child_slots
1,100000,10478,1040,7920
1,200000,20566,1235,9261
1,300000,30670,1421,10697
1,400000,40707,1532,11622
1,500000,50753,1644,12410
1,600000,60760,1686,12860
1,700000,70785,1756,13014
1,800000,80803,1839,13275
1,900000,90805,1860,13336
1,1000000,100813,1903,13583
1,1100000,110809,1927,13767
1,1200000,120824,1995,14051
1,1300000,130843,2032,14428
1,1400000,140833,2048,14444
1,1500000,150835,2069,14485
1,1600000,160822,2085,14527
1,1700000,170827,2113,14603
1,1800000,180817,2133,14625
1,1900000,190800,2166,14962
1,2000000,200800,2196,15008
1,2100000,210804,2213,15057
1,2200000,220792,2236,15232
1,2300000,230768,2256,15416
1,2400000,240755,2286,15454
1,2500000,250747,2314,15492
1,2600000,260722,2323,15503
1,2700000,270718,2336,15520
1,2800000,280703,2345,15535
1,2900000,290676,2363,15595
1,3000000,300649,2378,15762
1,3100000,310621,2385,15769
1,3200000,320595,2393,15777
1,3300000,330570,2400,15788
1,3400000,340540,2413,15837
1,3500000,350527,2427,15851
1,3600000,360503,2450,15876
1,3700000,370481,2461,16063
1,3800000,380453,2477,16079
1,3900000,390417,2494,16108
1,4000000,400404,2499,16113
1,4100000,410438,2517,16131
1,4200000,420468,2524,16138
1,4300000,430488,2533,16151
1,4400000,440516,2550,16352
1,4500000,450534,2564,16366
1,4600000,460550,2575,16381
1,4700000,470560,2580,16386
1,4800000,480576,2583,16389
1,4900000,490602,2591,16405
1,5000000,500613,2604,16570
1,5100000,510620,2612,16580
1,5200000,520632,2618,16586
1,5300000,530636,2621,16589
1,5400000,540646,2632,16600
1,5500000,550647,2637,16613
1,5600000,560661,2647,16647
1,5700000,570674,2651,16651
1,5800000,580674,2658,16658
1,5900000,590706,2666,16666
1,6000000,600717,2669,16669
1,6100000,610754,2675,16675
1,6200000,620801,2688,16714
1,6300000,630816,2698,16740
1,6400000,640838,2709,16767
1,6500000,650824,2717,16793
1,6600000,660803,2725,16801
1,6700000,670769,2736,16812
1,6800000,680733,2748,16824
1,6900000,690707,2766,16852
1,7000000,700685,2770,17008
1,7100000,710648,2779,17033
1,7200000,720626,2785,17039
1,7300000,730600,2790,17044
1,7400000,740562,2797,17067
1,7500000,750528,2815,17095
1,7600000,760495,2817,17097
1,7700000,770476,2821,17101
1,7800000,780458,2829,17113
1,7900000,790417,2831,17115
1,8000000,800395,2838,17130
1,8100000,810367,2849,17179
1,8200000,820337,2856,17554
1,8300000,830279,2858,17556
1,8400000,840228,2861,17559
1,8500000,850172,2871,17571
1,8600000,860125,2878,17580
1,8700000,870073,2882,17584
1,8800000,880018,2886,17588
1,8900000,889963,2889,17591
1,9000000,899909,2891,17593
1,9100000,909863,2899,17617
1,9200000,919814,2906,17624
1,9300000,929760,2914,17632
1,9400000,939711,2921,17639
1,9500000,949651,2922,17640
1,9600000,959603,2924,17642
1,9700000,969549,2934,17668
1,9800000,979497,2938,17672
1,9900000,989455,2946,17680
1,10000000,999392,2951,17685
1,10100000,1009338,2958,17692
1,10200000,1019295,2960,17694
1,10300000,1029281,2966,17700
1,10400000,1039276,2973,17715
