context_length,chars_processed,time_microsec,num_nodes,num_child_slots
1,100000,10410,515,1254
1,200000,20725,553,1338
1,300000,31070,572,1361
1,400000,41359,591,1380
1,500000,51692,600,1389
1,600000,61967,621,1410
1,700000,72271,632,1444
1,800000,82559,640,1452
1,900000,92857,645,1457
1,1000000,103155,648,1460
1,1100000,113440,658,1470
1,1200000,123695,664,1476
1,1300000,133963,666,1478
1,1400000,144259,668,1480
1,1500000,154529,673,1485
1,1600000,164806,676,1488
1,1700000,175082,678,1490
1,1800000,185397,680,1492
1,1900000,195697,681,1493
1,2000000,205987,682,1494
1,2100000,216284,685,1497
1,2200000,226578,692,1504
1,2300000,236967,695,1507
1,2400000,247256,697,1509
1,2500000,257558,698,1510
1,2600000,267980,701,1513
1,2700000,278306,702,1514
1,2800000,288590,702,1514
1,2900000,298871,702,1514
1,3000000,309230,705,1517
1,3100000,319522,705,1517
1,3200000,329870,709,1521
1,3300000,340197,710,1522
1,3400000,350458,714,1526
1,3500000,360743,716,1528
1,3600000,371057,717,1529
1,3700000,381322,717,1529
1,3800000,391584,717,1529
1,3900000,401847,718,1530
1,4000000,412160,719,1531
1,4100000,422417,719,1531
1,4200000,432685,720,1532
1,4300000,442963,720,1532
1,4400000,453231,721,1533
1,4500000,463510,721,1533
1,4600000,473786,721,1533
1,4700000,484045,721,1533
1,4800000,494308,722,1534
1,4900000,504591,724,1536
1,5000000,514863,724,1536
1,5100000,525131,725,1537
1,5200000,535391,725,1537
1,5300000,545674,725,1537
1,5400000,555964,726,1538
1,5500000,566230,726,1538
1,5600000,576505,727,1539
1,5700000,586781,729,1541
1,5800000,597055,729,1541
1,5900000,607322,729,1541
1,6000000,617590,729,1541
1,6100000,627865,730,1542
1,6200000,638127,730,1542
1,6300000,648399,730,1542
1,6400000,658694,730,1542
1,6500000,668959,730,1542
1,6600000,679231,730,1542
1,6700000,689504,731,1543
1,6800000,699776,731,1543
1,6900000,710047,731,1543
1,7000000,720313,732,1544
1,7100000,730583,732,1544
1,7200000,740900,735,1547
1,7300000,751348,735,1547
1,7400000,761789,735,1547
1,7500000,772230,736,1548
1,7600000,782679,736,1548
1,7700000,793130,736,1548
1,7800000,803565,736,1548
1,7900000,814002,737,1549
1,8000000,824437,737,1549
1,8100000,834879,737,1549
1,8200000,845318,738,1550
1,8300000,855785,738,1550
1,8400000,866240,739,1551
1,8500000,876712,739,1551
1,8600000,887187,740,1552
1,8700000,897633,740,1552
1,8800000,908064,740,1552
1,8900000,918323,740,1552
1,9000000,928584,740,1552
1,9100000,938857,741,1553
1,9200000,949121,742,1554
1,9300000,959381,742,1554
1,9400000,969640,742,1554
1,9500000,979906,742,1554
1,9600000,990185,742,1554
1,9700000,1000458,742,1554
1,9800000,1010728,742,1554
1,9900000,1020995,742,1554
1,10000000,1031267,742,1554
1,10100000,1041532,742,1554
1,10200000,1051812,742,1554
1,10300000,1062073,743,1555
1,10400000,1072339,744,1556
1,10500000,1082609,744,1556
1,10600000,1092893,744,1556
1,10700000,1103168,744,1556
1,10800000,1113449,744,1556
1,10900000,1123719,744,1556
1,11000000,1133987,744,1556
1,11100000,1144271,744,1556
1,11200000,1154546,744,1556
1,11300000,1164829,744,1556
1,11400000,1175121,744,1556
1,11500000,1185384,744,1556
1,11600000,1195654,744,1556
1,11700000,1205918,745,1557
1,11800000,1216180,745,1557
1,11900000,1226440,745,1557
1,12000000,1236721,745,1557
1,12100000,1247017,746,1558
1,12200000,1257303,746,1558
1,12300000,1267601,746,1558
1,12400000,1277888,747,1559
1,12500000,1288165,747,1559
1,12600000,1298463,747,1559
1,12700000,1308768,747,1559
1,12800000,1319042,747,1559
1,12900000,1329369,748,1560
1,13000000,1339722,748,1560
1,13100000,1350016,748,1560
1,13200000,1360318,748,1560
1,13300000,1370615,748,1560
1,13400000,1380890,748,1560
1,13500000,1391165,748,1560
1,13600000,1401446,748,1560
1,13700000,1411729,748,1560
1,13800000,1422010,748,1560
1,13900000,1432296,748,1560
1,14000000,1442567,748,1560
1,14100000,1452847,748,1560
1,14200000,1463125,748,1560
1,14300000,1473399,748,1560
1,14400000,1483698,748,1560
1,14500000,1493987,748,1560
1,14600000,1504274,748,1560
1,14700000,1514565,748,1560
1,14800000,1524898,748,1560
1,14900000,1535186,748,1560
1,15000000,1545520,748,1560
1,15100000,1555821,749,1561
1,15200000,1566146,749,1561
1,15300000,1576537,749,1561
1,15400000,1587109,749,1561
1,15500000,1597404,749,1561
1,15600000,1607664,749,1561
1,15700000,1617971,749,1561
1,15800000,1628277,749,1561
1,15900000,1638594,749,1561
1,16000000,1648915,749,1561
1,16100000,1659217,749,1561
1,16200000,1669500,749,1561
1,16300000,1679801,749,1561
1,16400000,1690099,749,1561
1,16500000,1700374,749,1561
1,16600000,1710675,749,1561
1,16700000,1720972,749,1561
1,16800000,1731273,749,1561
1,16900000,1741561,749,1561
1,17000000,1751860,749,1561
1,17100000,1762148,749,1561
1,17200000,1772405,749,1561
1,17300000,1782699,749,1561
1,17400000,1792989,749,1561
1,17500000,1803272,749,1561
1,17600000,1813555,750,1562
1,17700000,1823860,750,1562
1,17800000,1834157,750,1562
1,17900000,1844439,750,1562
1,18000000,1854711,750,1562
1,18100000,1864975,750,1562
1,18200000,1875244,750,1562
1,18300000,1885529,750,1562
1,18400000,1895825,750,1562
1,18500000,1906118,750,1562
1,18600000,1916418,750,1562
1,18700000,1926716,750,1562
1,18800000,1936999,750,1562
1,18900000,1947260,750,1562
1,19000000,1957527,751,1563
1,19100000,1967803,751,1563
1,19200000,1978069,751,1563
1,19300000,1988340,751,1563
1,19400000,1998607,751,1563
1,19500000,2008877,751,1563
1,19600000,2019149,751,1563
1,19700000,2029417,751,1563
1,19800000,2039694,751,1563
1,19900000,2049973,751,1563
1,20000000,2060248,751,1563
1,20100000,2070530,751,1563
1,20200000,2080800,751,1563
1,20300000,2091078,751,1563
1,20400000,2101347,751,1563
1,20500000,2111625,751,1563
1,20600000,2121908,751,1563
1,20700000,2132164,751,1563
1,20800000,2142425,751,1563
1,20900000,2152709,751,1563
1,21000000,2162984,751,1563
1,21100000,2173248,751,1563
1,21200000,2183520,751,1563
1,21300000,2193782,751,1563
1,21400000,2204060,751,1563
1,21500000,2214329,751,1563
1,21600000,2224599,751,1563
1,21700000,2234878,751,1563
1,21800000,2245147,751,1563
1,21900000,2255422,751,1563
1,22000000,2265695,751,1563
1,22100000,2275984,751,1563
1,22200000,2286276,751,1563
1,22300000,2296570,751,1563
1,22400000,2306861,751,1563
1,22500000,2317457,751,1563
1,22600000,2327753,751,1563
1,22700000,2338090,751,1563
1,22800000,2348432,751,1563
1,22900000,2358727,751,1563
1,23000000,2369003,751,1563
1,23100000,2379285,751,1563
1,23200000,2389550,751,1563
1,23300000,2399837,751,1563
1,23400000,2410141,751,1563
1,23500000,2420434,751,1563
1,23600000,2430731,751,1563
1,23700000,2441012,751,1563
1,23800000,2451279,751,1563
1,23900000,2461543,751,1563
1,24000000,2471808,751,1563
1,24100000,2482119,751,1563
1,24200000,2492416,751,1563
1,24300000,2502725,751,1563
1,24400000,2513018,751,1563
1,24500000,2523311,751,1563
1,24600000,2533609,751,1563
