context_length,alpha,beta,adapt,bpc,time_microsec
1,49,77,0,4.85284,51820372
1,49,77,1,4.85319,51568803
2,49,77,0,4.80907,70266852
2,49,77,1,4.80998,69871066
3,49,77,0,4.52167,86919977
3,49,77,1,4.52518,87019365
4,49,77,0,3.82077,101601337
4,49,77,1,3.83018,101782804
5,49,77,0,3.06081,115327772
5,49,77,1,3.05231,115008671
6,49,77,0,2.50648,125795424
6,49,77,1,2.48527,126196611
7,49,77,0,2.15575,135808318
7,49,77,1,2.12283,135743231
8,49,77,0,1.95899,143095210
8,49,77,1,1.91641,143867245
9,49,77,0,1.86308,149834121
9,49,77,1,1.80835,150743937
10,49,77,0,1.81792,155309181
10,49,77,1,1.75489,156490217
11,49,77,0,1.80354,159837052
11,49,77,1,1.73377,161322787
12,49,77,0,1.80588,163181093
12,49,77,1,1.73169,165081090
13,49,77,0,1.81934,166805917
13,49,77,1,1.74117,168295205
14,49,77,0,1.83452,168241827
14,49,77,1,1.75382,171333848
15,49,77,0,1.84844,170643094
15,49,77,1,1.76575,174573966
16,49,77,0,1.86036,174373416
16,49,77,1,1.77674,177681321
17,49,77,0,1.87317,176835862
17,49,77,1,1.78831,180951212
18,49,77,0,1.88476,179771014
18,49,77,1,1.79915,183671539
19,49,77,0,1.89367,181821667
19,49,77,1,1.80736,186600789
20,49,77,0,1.90058,184695712
20,49,77,1,1.81374,189849081
