context_length,alpha,beta,adapt,chars_processed,time_microsec,bpc
1,49,77,0,500000,73498,0
1,49,77,0,1000000,173540,0
1,49,77,0,1500000,237648,0
1,49,77,0,2000000,342834,0
1,49,77,0,2500000,429681,0
1,49,77,0,3000000,501089,0
1,49,77,0,3500000,601906,0
1,49,77,0,4000000,664552,0
1,49,77,0,4500000,755153,0
1,49,77,0,5000000,848556,0
1,49,77,0,5500000,921003,0
1,49,77,0,6000000,1022472,0
1,49,77,0,6500000,1079835,0
1,49,77,0,7000000,1193195,0
1,49,77,0,7500000,1284606,0
1,49,77,0,8000000,1350675,0
1,49,77,0,8500000,1429732,0
1,49,77,0,9000000,1481684,0
1,49,77,0,9500000,1606132,0
1,49,77,0,10000000,1698639,0
1,49,77,0,10500000,1762443,0
1,49,77,0,11000000,1864267,0
1,49,77,0,11500000,1918725,0
1,49,77,0,12000000,2026944,0
1,49,77,0,12500000,2118377,0
1,49,77,0,13000000,2170503,0
1,49,77,0,13500000,2257309,0
1,49,77,0,14000000,2339657,0
1,49,77,0,14500000,2391828,0
1,49,77,0,15000000,2476883,0
1,49,77,0,15500000,2528894,0
1,49,77,0,16000000,2626611,0
1,49,77,0,16500000,2715603,0
1,49,77,0,17000000,2768533,0
1,49,77,0,17500000,2871410,0
1,49,77,0,18000000,2924544,0
1,49,77,0,18500000,3007963,0
1,49,77,0,19000000,3090501,0
1,49,77,0,19500000,3142495,0
1,49,77,0,20000000,3233782,0
1,49,77,0,20500000,3285675,0
1,49,77,0,21000000,3370523,0
1,49,77,0,21500000,3460104,0
1,49,77,0,22000000,3512200,0
1,49,77,0,22500000,3608888,0
1,49,77,0,23000000,3660781,0
1,49,77,0,23500000,3748650,0
1,49,77,0,24000000,3840125,0
1,49,77,0,24500000,3896435,0
1,49,77,0,25000000,3980956,0
1,49,77,0,25500000,4066392,0
1,49,77,0,26000000,4118424,0
1,49,77,0,26500000,4215084,0
1,49,77,0,27000000,4276310,0
1,49,77,0,27500000,4393390,0
1,49,77,0,28000000,4476389,0
1,49,77,0,28500000,4528301,0
1,49,77,0,29000000,4630598,0
1,49,77,0,29500000,4691357,0
1,49,77,0,30000000,4804240,0
1,49,77,0,30500000,4901160,0
1,49,77,0,31000000,4975759,0
1,49,77,0,31500000,5080115,0
1,49,77,0,32000000,5139149,0
1,49,77,0,32500000,5243874,0
1,49,77,0,33000000,5337626,0
1,49,77,0,33500000,5401955,0
1,49,77,0,34000000,5509549,0
1,49,77,0,34500000,5566865,0
1,49,77,0,35000000,5672741,0
1,49,77,0,35500000,5781832,0
1,49,77,0,36000000,5846981,0
1,49,77,0,36500000,5952283,0
1,49,77,0,37000000,6040756,0
1,49,77,0,37500000,6117811,0
1,49,77,0,38000000,6229634,0
1,49,77,0,38500000,6292937,0
1,49,77,0,39000000,6395987,0
1,49,77,0,39500000,6481476,0
1,49,77,0,40000000,6533597,0
1,49,77,0,40500000,6632140,0
1,49,77,0,41000000,6685400,0
1,49,77,0,41500000,6774358,0
1,49,77,0,42000000,6866267,0
1,49,77,0,42500000,6923481,0
1,49,77,0,43000000,7006692,0
1,49,77,0,43500000,7058532,0
1,49,77,0,44000000,7148814,0
1,49,77,0,44500000,7234046,0
1,49,77,0,45000000,7285934,0
1,49,77,0,45500000,7375924,0
1,49,77,0,46000000,7427882,0
1,49,77,0,46500000,7535180,0
1,49,77,0,47000000,7623605,0
1,49,77,0,47500000,7675455,0
1,49,77,0,48000000,7759494,0
1,49,77,0,48500000,7845627,0
1,49,77,0,49000000,7897686,0
1,49,77,0,49500000,7995100,0
1,49,77,0,50000000,8049933,0
1,49,77,0,50500000,8137453,0
1,49,77,0,51000000,8227345,0
1,49,77,0,51500000,8279406,0
1,49,77,0,52000000,8371253,0
1,49,77,0,52500000,8423300,0
1,49,77,0,53000000,8533853,0
1,49,77,0,53500000,8629041,0
1,49,77,0,54000000,8700049,0
1,49,77,0,54500000,8810559,0
1,49,77,0,55000000,8872506,0
1,49,77,0,55500000,8987752,0
1,49,77,0,56000000,9084053,0
1,49,77,0,56500000,9152565,0
1,49,77,0,57000000,9259455,0
1,49,77,0,57500000,9317023,0
1,49,77,0,58000000,9421789,0
1,49,77,0,58500000,9537342,0
1,49,77,0,59000000,9606923,0
1,49,77,0,59500000,9687857,0
1,49,77,0,60000000,9773126,0
1,49,77,0,60500000,9846668,0
1,49,77,0,61000000,9947587,0
1,49,77,0,61500000,10011856,0
1,49,77,0,62000000,10117586,0
