context_length,alpha,beta,adapt,pretrain,bpc,time_microsec
6,1,1,0,1,2.66156,133814457
6,1,1,1,1,2.61922,133945941
6,1,9,0,1,2.61253,131983711
6,1,9,1,1,2.57717,131038793
6,1,17,0,1,2.59318,128550865
6,1,17,1,1,2.5608,129374243
6,1,25,0,1,2.58076,128718730
6,1,25,1,1,2.55058,129236933
6,1,33,0,1,2.57232,128780910
6,1,33,1,1,2.54359,129118247
6,1,41,0,1,2.56617,128816141
6,1,41,1,1,2.53865,129303230
6,1,49,0,1,2.56133,128678423
6,1,49,1,1,2.53496,129395860
6,1,57,0,1,2.55769,128760053
6,1,57,1,1,2.53237,129211622
6,1,65,0,1,2.55536,128740844
6,1,65,1,1,2.53086,129232539
6,1,73,0,1,2.55376,128852332
6,1,73,1,1,2.53036,129233308
6,1,81,0,1,2.55442,128703857
6,1,81,1,1,2.53156,129215395
6,1,89,0,1,2.55719,128645483
6,1,89,1,1,2.53464,129203894
6,1,97,0,1,2.56384,128693597
6,1,97,1,1,2.54208,129272139
6,9,1,0,1,2.63382,128705270
6,9,1,1,1,2.59576,129313843
6,9,9,0,1,2.60363,128611226
6,9,9,1,1,2.56971,129459154
6,9,17,0,1,2.588,128710614
6,9,17,1,1,2.55652,129384330
6,9,25,0,1,2.57725,128737254
6,9,25,1,1,2.54773,129311432
6,9,33,0,1,2.56987,128811902
6,9,33,1,1,2.54162,129707688
6,9,41,0,1,2.56439,128823476
6,9,41,1,1,2.53721,129300375
6,9,49,0,1,2.55999,129208962
6,9,49,1,1,2.53393,129462229
6,9,57,0,1,2.55664,128749361
6,9,57,1,1,2.53163,129421036
6,9,65,0,1,2.55458,128708743
6,9,65,1,1,2.5303,129298210
6,9,73,0,1,2.55314,128692154
6,9,73,1,1,2.52998,129233965
6,9,81,0,1,2.55398,128979580
6,9,81,1,1,2.53133,129387518
6,9,89,0,1,2.55683,128721579
6,9,89,1,1,2.53446,129218499
6,9,97,0,1,2.56358,128591189
6,9,97,1,1,2.54187,129293049
6,17,1,0,1,2.62085,128693510
6,17,1,1,1,2.58474,129196384
6,17,9,0,1,2.59741,128712326
6,17,9,1,1,2.56454,129181403
6,17,17,0,1,2.58401,128865722
6,17,17,1,1,2.55323,129213525
6,17,25,0,1,2.5745,128758250
6,17,25,1,1,2.54547,129323684
6,17,33,0,1,2.56783,128683560
6,17,33,1,1,2.53996,129176638
6,17,41,0,1,2.56279,128681846
6,17,41,1,1,2.53599,129311016
6,17,49,0,1,2.55878,128827036
6,17,49,1,1,2.53304,129187372
6,17,57,0,1,2.55575,128716713
6,17,57,1,1,2.53098,129337666
6,17,65,0,1,2.5539,128718044
6,17,65,1,1,2.52982,129205559
6,17,73,0,1,2.55276,128797201
6,17,73,1,1,2.52966,129350440
6,17,81,0,1,2.55382,128981478
6,17,81,1,1,2.53112,129155874
6,17,89,0,1,2.5565,128761680
6,17,89,1,1,2.5343,129223982
6,17,97,0,1,2.56327,128731479
6,17,97,1,1,2.54168,129363910
6,25,1,0,1,2.6121,128819059
6,25,1,1,1,2.57736,129280752
6,25,9,0,1,2.59263,128724836
6,25,9,1,1,2.56058,129245778
6,25,17,0,1,2.58072,128753994
6,25,17,1,1,2.55055,129190334
6,25,25,0,1,2.57217,128698998
6,25,25,1,1,2.54361,129169553
6,25,33,0,1,2.56604,128889567
6,25,33,1,1,2.5386,129209788
6,25,41,0,1,2.56149,128776501
6,25,41,1,1,2.53497,129232897
