context_length,alpha,beta,adapt,pretrain,chars_processed,time_microsec,bpc
9,1,1,0,1,500000,261491,0
9,1,1,0,1,1000000,523379,0
9,1,1,0,1,1500000,787746,0
9,1,1,0,1,2000000,1050577,0
9,1,1,0,1,2500000,1322251,0
9,1,1,0,1,3000000,1584556,0
9,1,1,0,1,3500000,1846801,0
9,1,1,0,1,4000000,2149289,0
9,1,1,0,1,4500000,2420679,0
9,1,1,0,1,5000000,2774172,0
9,1,1,0,1,5500000,3071400,0
9,1,1,0,1,6000000,3426586,0
9,1,1,0,1,6500000,3745295,0
9,1,1,0,1,7000000,4069758,0
9,1,1,0,1,7500000,4398039,0
9,1,1,0,1,8000000,4679296,0
9,1,1,0,1,8500000,5071653,0
9,1,1,0,1,9000000,5369750,0
9,1,1,0,1,9500000,5724514,0
9,1,1,0,1,10000000,6046010,0
9,1,1,0,1,10500000,6338581,0
9,1,1,0,1,11000000,6669140,0
9,1,1,0,1,11500000,6995355,0
9,1,1,0,1,12000000,7327193,0
9,1,1,0,1,12500000,7662729,0
9,1,1,0,1,13000000,7925731,0
9,1,1,0,1,13500000,8241870,0
9,1,1,0,1,14000000,8572720,0
9,1,1,0,1,14500000,8840953,0
9,1,1,0,1,15000000,9163296,0
9,1,1,0,1,15500000,9428205,0
9,1,1,0,1,16000000,9738234,0
9,1,1,0,1,16500000,10042820,0
9,1,1,0,1,17000000,10333865,0
9,1,1,0,1,17500000,10656345,0
9,1,1,0,1,18000000,10945749,0
9,1,1,0,1,18500000,11255340,0
9,1,1,0,1,19000000,11566881,0
9,1,1,0,1,19500000,11891739,0
9,1,1,0,1,20000000,12214094,0
9,1,1,0,1,20500000,12506986,0
9,1,1,0,1,21000000,12831885,0
9,1,1,0,1,21500000,13145167,0
9,1,1,0,1,22000000,13437037,0
9,1,1,0,1,22500000,13730165,0
9,1,1,0,1,23000000,14012527,0
9,1,1,0,1,23500000,14318517,0
9,1,1,0,1,24000000,14624228,0
9,1,1,0,1,24500000,14904546,0
9,1,1,0,1,25000000,15230211,0
9,1,1,0,1,25500000,15562405,0
9,1,1,0,1,26000000,15850947,0
9,1,1,0,1,26500000,16175904,0
9,1,1,0,1,27000000,16464517,0
9,1,1,0,1,27500000,16799690,0
9,1,1,0,1,28000000,17126848,0
9,1,1,0,1,28500000,17414633,0
9,1,1,0,1,29000000,20276262,0
9,1,1,0,1,29500000,20586350,0
9,1,1,0,1,30000000,20910395,0
9,1,1,0,1,30500000,21216646,0
9,1,1,0,1,31000000,21502281,0
9,1,1,0,1,31500000,21811023,0
9,1,1,0,1,32000000,22104210,0
9,1,1,0,1,32500000,22436661,0
9,1,1,0,1,33000000,22755526,0
9,1,1,0,1,33500000,23055080,0
9,1,1,0,1,34000000,23424941,0
9,1,1,0,1,34500000,23731992,0
9,1,1,0,1,35000000,24219802,0
9,1,1,0,1,35500000,24533305,0
9,1,1,0,1,36000000,24826884,0
9,1,1,0,1,36500000,25140105,0
9,1,1,0,1,37000000,25460194,0
9,1,1,0,1,37500000,25760532,0
9,1,1,0,1,38000000,26106777,0
9,1,1,0,1,38500000,26383747,0
9,1,1,0,1,39000000,26725202,0
9,1,1,0,1,39500000,27043432,0
9,1,1,0,1,40000000,27332602,0
9,1,1,0,1,40500000,27648458,0
9,1,1,0,1,41000000,27939923,0
9,1,1,0,1,41500000,28252148,0
9,1,1,0,1,42000000,28573828,0
9,1,1,0,1,42500000,28855832,0
