context_length,alpha,beta,adapt,pretrain,bpc,time_microsec
1,49,77,0,1,4.85753,52204156
1,49,77,1,1,4.85734,52512373
2,49,77,0,1,4.82746,70870553
2,49,77,1,1,4.82612,70882586
3,49,77,0,1,4.38446,88904007
3,49,77,1,1,4.40302,88468940
4,49,77,0,1,2.42545,104765560
4,49,77,1,1,2.4855,104946994
5,49,77,0,1,-1.25763,119057082
5,49,77,1,1,-1.17569,117392848
6,49,77,0,1,-4.59207,130262453
6,49,77,1,1,-4.52461,129914178
7,49,77,0,1,-6.93412,145024604
7,49,77,1,1,-6.88748,140848026
8,49,77,0,1,-8.45705,148122381
8,49,77,1,1,-8.43056,148474135
9,49,77,0,1,-9.35699,157519747
9,49,77,1,1,-9.34645,155920444
10,49,77,0,1,-9.92979,161491090
10,49,77,1,1,-9.92475,162961897
11,49,77,0,1,-10.2682,167011305
11,49,77,1,1,-10.2693,167896331
12,49,77,0,1,-10.4912,171998013
12,49,77,1,1,-10.4969,173270388
13,49,77,0,1,-10.6448,175645990
13,49,77,1,1,-10.654,177203268
14,49,77,0,1,-10.7545,178583318
14,49,77,1,1,-10.764,181777887
15,49,77,0,1,-10.8347,181824826
15,49,77,1,1,-10.8446,185166355
16,49,77,0,1,-10.9044,183870952
16,49,77,1,1,-10.9147,188069732
17,49,77,0,1,-10.9431,186064508
17,49,77,1,1,-10.9566,189933929
18,49,77,0,1,-10.9716,187547042
18,49,77,1,1,-10.9868,191873309
19,49,77,0,1,-11.0013,189586716
19,49,77,1,1,-11.0168,195367741
20,49,77,0,1,-11.0258,192778718
20,49,77,1,1,-11.0412,199388105
