context_length,alpha,beta,adapt,pretrain,chars_processed,time_microsec,bpc
1,49,77,0,1,500000,86394,0
1,49,77,0,1,1000000,138596,0
1,49,77,0,1,1500000,190716,0
1,49,77,0,1,2000000,242808,0
1,49,77,0,1,2500000,294908,0
1,49,77,0,1,3000000,347052,0
1,49,77,0,1,3500000,399165,0
1,49,77,0,1,4000000,451256,0
1,49,77,0,1,4500000,503476,0
1,49,77,0,1,5000000,555684,0
1,49,77,0,1,5500000,607898,0
1,49,77,0,1,6000000,660121,0
1,49,77,0,1,6500000,712256,0
1,49,77,0,1,7000000,764383,0
1,49,77,0,1,7500000,816523,0
1,49,77,0,1,8000000,868680,0
1,49,77,0,1,8500000,920784,0
1,49,77,0,1,9000000,972897,0
1,49,77,0,1,9500000,1024997,0
1,49,77,0,1,10000000,1077111,0
1,49,77,0,1,10500000,1129207,0
1,49,77,0,1,11000000,1181353,0
1,49,77,0,1,11500000,1233456,0
1,49,77,0,1,12000000,1285595,0
1,49,77,0,1,12500000,1337789,0
1,49,77,0,1,13000000,1390019,0
1,49,77,0,1,13500000,1442295,0
1,49,77,0,1,14000000,1494432,0
1,49,77,0,1,14500000,1546532,0
1,49,77,0,1,15000000,1598681,0
1,49,77,0,1,15500000,1650834,0
1,49,77,0,1,16000000,1703070,0
1,49,77,0,1,16500000,1755189,0
1,49,77,0,1,17000000,1807336,0
1,49,77,0,1,17500000,1859457,0
1,49,77,0,1,18000000,1911580,0
1,49,77,0,1,18500000,1963783,0
1,49,77,0,1,19000000,2015914,0
1,49,77,0,1,19500000,2068039,0
1,49,77,0,1,20000000,2120179,0
1,49,77,0,1,20500000,2172307,0
1,49,77,0,1,21000000,2224475,0
1,49,77,0,1,21500000,2276631,0
1,49,77,0,1,22000000,2328820,0
1,49,77,0,1,22500000,2380995,0
1,49,77,0,1,23000000,2433064,0
1,49,77,0,1,23500000,2485175,0
1,49,77,0,1,24000000,2537259,0
1,49,77,0,1,24500000,2589354,0
1,49,77,0,1,25000000,2641434,0
1,49,77,0,1,25500000,2693531,0
1,49,77,0,1,26000000,2745651,0
1,49,77,0,1,26500000,2797811,0
1,49,77,0,1,27000000,2849920,0
1,49,77,0,1,27500000,2902071,0
1,49,77,0,1,28000000,2954208,0
1,49,77,0,1,28500000,3006350,0
1,49,77,0,1,29000000,3058461,0
1,49,77,0,1,29500000,3110526,0
1,49,77,0,1,30000000,3162553,0
1,49,77,0,1,30500000,3214647,0
1,49,77,0,1,31000000,3266716,0
1,49,77,0,1,31500000,3318804,0
1,49,77,0,1,32000000,3370914,0
1,49,77,0,1,32500000,3423045,0
1,49,77,0,1,33000000,3475170,0
1,49,77,0,1,33500000,3527727,0
1,49,77,0,1,34000000,3580112,0
1,49,77,0,1,34500000,3632370,0
1,49,77,0,1,35000000,3684561,0
1,49,77,0,1,35500000,3736662,0
1,49,77,0,1,36000000,3788784,0
1,49,77,0,1,36500000,3840891,0
1,49,77,0,1,37000000,3893018,0
1,49,77,0,1,37500000,3945209,0
1,49,77,0,1,38000000,3997452,0
1,49,77,0,1,38500000,4049759,0
1,49,77,0,1,39000000,4101899,0
1,49,77,0,1,39500000,4154035,0
1,49,77,0,1,40000000,4206216,0
1,49,77,0,1,40500000,4258424,0
1,49,77,0,1,41000000,4310676,0
1,49,77,0,1,41500000,4362884,0
1,49,77,0,1,42000000,4415035,0
1,49,77,0,1,42500000,4467091,0
1,49,77,0,1,43000000,4519167,0
1,49,77,0,1,43500000,4571226,0
1,49,77,0,1,44000000,4623312,0
1,49,77,0,1,44500000,4675391,0
1,49,77,0,1,45000000,4727492,0
1,49,77,0,1,45500000,4779571,0
1,49,77,0,1,46000000,4831655,0
1,49,77,0,1,46500000,4883739,0
1,49,77,0,1,47000000,4935935,0
1,49,77,0,1,47500000,4988306,0
1,49,77,0,1,48000000,5040862,0
1,49,77,0,1,48500000,5093565,0
1,49,77,0,1,49000000,5145995,0
1,49,77,0,1,49500000,5198119,0
1,49,77,0,1,50000000,5250253,0
1,49,77,0,1,50500000,5302451,0
1,49,77,0,1,51000000,5354586,0
1,49,77,0,1,51500000,5406799,0
1,49,77,0,1,52000000,5458941,0
1,49,77,0,1,52500000,5511340,0
1,49,77,0,1,53000000,5563519,0
1,49,77,0,1,53500000,5615782,0
1,49,77,0,1,54000000,5668076,0
1,49,77,0,1,54500000,5720317,0
1,49,77,0,1,55000000,5772564,0
1,49,77,0,1,55500000,5824718,0
1,49,77,0,1,56000000,5876941,0
1,49,77,0,1,56500000,5929010,0
1,49,77,0,1,57000000,5981197,0
1,49,77,0,1,57500000,6033341,0
1,49,77,0,1,58000000,6085468,0
1,49,77,0,1,58500000,6137604,0
1,49,77,0,1,59000000,6189689,0
1,49,77,0,1,59500000,6241777,0
1,49,77,0,1,60000000,6293886,0
1,49,77,0,1,60500000,6346097,0
1,49,77,0,1,61000000,6398290,0
1,49,77,0,1,61500000,6450471,0
1,49,77,0,1,62000000,6502571,0
1,49,77,0,1,62500000,6554636,0
1,49,77,0,1,63000000,6606725,0
1,49,77,0,1,63500000,6658807,0
1,49,77,0,1,64000000,6710884,0
1,49,77,0,1,64500000,6762939,0
1,49,77,0,1,65000000,6815106,0
1,49,77,0,1,65500000,6867288,0
1,49,77,0,1,66000000,6919464,0
1,49,77,0,1,66500000,6971621,0
1,49,77,0,1,67000000,7023762,0
1,49,77,0,1,67500000,7075897,0
1,49,77,0,1,68000000,7127989,0
1,49,77,0,1,68500000,7180071,0
1,49,77,0,1,69000000,7232107,0
1,49,77,0,1,69500000,7284601,0
1,49,77,0,1,70000000,7336743,0
1,49,77,0,1,70500000,7388798,0
1,49,77,0,1,71000000,7440904,0
1,49,77,0,1,71500000,7493327,0
1,49,77,0,1,72000000,7545463,0
1,49,77,0,1,72500000,7597590,0
1,49,77,0,1,73000000,7649644,0
1,49,77,0,1,73500000,7701731,0
1,49,77,0,1,74000000,7753851,0
1,49,77,0,1,74500000,7806045,0
1,49,77,0,1,75000000,7858238,0
1,49,77,0,1,75500000,7910509,0
1,49,77,0,1,76000000,7962771,0
1,49,77,0,1,76500000,8014992,0
1,49,77,0,1,77000000,8067106,0
1,49,77,0,1,77500000,8119235,0
1,49,77,0,1,78000000,8171461,0
1,49,77,0,1,78500000,8223704,0
1,49,77,0,1,79000000,8275873,0
1,49,77,0,1,79500000,8328020,0
1,49,77,0,1,80000000,8380115,0
1,49,77,0,1,80500000,8432198,0
1,49,77,0,1,81000000,8484545,0
1,49,77,0,1,81500000,8536796,0
1,49,77,0,1,82000000,8589093,0
1,49,77,0,1,82500000,8641209,0
1,49,77,0,1,83000000,8693335,0
1,49,77,0,1,83500000,8745388,0
1,49,77,0,1,84000000,8797448,0
1,49,77,0,1,84500000,8849493,0
1,49,77,0,1,85000000,8901661,0
1,49,77,0,1,85500000,8953847,0
1,49,77,0,1,86000000,9005963,0
1,49,77,0,1,86500000,9058190,0
1,49,77,0,1,87000000,9110380,0
1,49,77,0,1,87500000,9162545,0
1,49,77,0,1,88000000,9214637,0
1,49,77,0,1,88500000,9266708,0
1,49,77,0,1,89000000,9318800,0
1,49,77,0,1,89500000,9370862,0
1,49,77,0,1,90000000,9423067,0
1,49,77,1,1,500000,52054,0
1,49,77,1,1,1000000,104022,0
1,49,77,1,1,1500000,155967,0
1,49,77,1,1,2000000,207907,0
1,49,77,1,1,2500000,259838,0
1,49,77,1,1,3000000,311758,0
1,49,77,1,1,3500000,363825,0
1,49,77,1,1,4000000,415846,0
1,49,77,1,1,4500000,467866,0
1,49,77,1,1,5000000,519859,0
1,49,77,1,1,5500000,571797,0
1,49,77,1,1,6000000,623766,0
1,49,77,1,1,6500000,675712,0
1,49,77,1,1,7000000,727637,0
1,49,77,1,1,7500000,779572,0
1,49,77,1,1,8000000,831512,0
1,49,77,1,1,8500000,883457,0
1,49,77,1,1,9000000,935408,0
1,49,77,1,1,9500000,987441,0
1,49,77,1,1,10000000,1039478,0
1,49,77,1,1,10500000,1091513,0
1,49,77,1,1,11000000,1143559,0
1,49,77,1,1,11500000,1195590,0
1,49,77,1,1,12000000,1247522,0
1,49,77,1,1,12500000,1299584,0
1,49,77,1,1,13000000,1351620,0
1,49,77,1,1,13500000,1403670,0
1,49,77,1,1,14000000,1455669,0
1,49,77,1,1,14500000,1507685,0
1,49,77,1,1,15000000,1559723,0
1,49,77,1,1,15500000,1611790,0
1,49,77,1,1,16000000,1663763,0
1,49,77,1,1,16500000,1715677,0
1,49,77,1,1,17000000,1767615,0
1,49,77,1,1,17500000,1819539,0
1,49,77,1,1,18000000,1871482,0
1,49,77,1,1,18500000,1923429,0
1,49,77,1,1,19000000,1975359,0
1,49,77,1,1,19500000,2027262,0
1,49,77,1,1,20000000,2079274,0
1,49,77,1,1,20500000,2131312,0
1,49,77,1,1,21000000,2183295,0
1,49,77,1,1,21500000,2235351,0
1,49,77,1,1,22000000,2287296,0
1,49,77,1,1,22500000,2339194,0
1,49,77,1,1,23000000,2391150,0
1,49,77,1,1,23500000,2443059,0
1,49,77,1,1,24000000,2494954,0
1,49,77,1,1,24500000,2546856,0
1,49,77,1,1,25000000,2598802,0
1,49,77,1,1,25500000,2650712,0
1,49,77,1,1,26000000,2702617,0
1,49,77,1,1,26500000,2754511,0
1,49,77,1,1,27000000,2806429,0
1,49,77,1,1,27500000,2858337,0
1,49,77,1,1,28000000,2910316,0
1,49,77,1,1,28500000,2962350,0
1,49,77,1,1,29000000,3014394,0
1,49,77,1,1,29500000,3066403,0
1,49,77,1,1,30000000,3118375,0
1,49,77,1,1,30500000,3170312,0
1,49,77,1,1,31000000,3222215,0
1,49,77,1,1,31500000,3274154,0
1,49,77,1,1,32000000,3326079,0
1,49,77,1,1,32500000,3378032,0
1,49,77,1,1,33000000,3429950,0
1,49,77,1,1,33500000,3481906,0
1,49,77,1,1,34000000,3533905,0
1,49,77,1,1,34500000,3585820,0
1,49,77,1,1,35000000,3637771,0
1,49,77,1,1,35500000,3689701,0
1,49,77,1,1,36000000,3741627,0
1,49,77,1,1,36500000,3793563,0
1,49,77,1,1,37000000,3845498,0
1,49,77,1,1,37500000,3897421,0
1,49,77,1,1,38000000,3949344,0
1,49,77,1,1,38500000,4001275,0
1,49,77,1,1,39000000,4053230,0
1,49,77,1,1,39500000,4105190,0
1,49,77,1,1,40000000,4157139,0
1,49,77,1,1,40500000,4209085,0
1,49,77,1,1,41000000,4261049,0
1,49,77,1,1,41500000,4312966,0
1,49,77,1,1,42000000,4364879,0
1,49,77,1,1,42500000,4416832,0
1,49,77,1,1,43000000,4468711,0
1,49,77,1,1,43500000,4520587,0
1,49,77,1,1,44000000,4572461,0
1,49,77,1,1,44500000,4624363,0
1,49,77,1,1,45000000,4676323,0
1,49,77,1,1,45500000,4728313,0
1,49,77,1,1,46000000,4780271,0
1,49,77,1,1,46500000,4832241,0
1,49,77,1,1,47000000,4884224,0
1,49,77,1,1,47500000,4936227,0
1,49,77,1,1,48000000,4988171,0
1,49,77,1,1,48500000,5040076,0
1,49,77,1,1,49000000,5091980,0
1,49,77,1,1,49500000,5143877,0
1,49,77,1,1,50000000,5195793,0
1,49,77,1,1,50500000,5247783,0
1,49,77,1,1,51000000,5299819,0
1,49,77,1,1,51500000,5351873,0
1,49,77,1,1,52000000,5403986,0
1,49,77,1,1,52500000,5456016,0
1,49,77,1,1,53000000,5507841,0
1,49,77,1,1,53500000,5559775,0
1,49,77,1,1,54000000,5611751,0
1,49,77,1,1,54500000,5663675,0
1,49,77,1,1,55000000,5715629,0
1,49,77,1,1,55500000,5767557,0
1,49,77,1,1,56000000,5819468,0
1,49,77,1,1,56500000,5871386,0
1,49,77,1,1,57000000,5923301,0
1,49,77,1,1,57500000,5975246,0
1,49,77,1,1,58000000,6027189,0
1,49,77,1,1,58500000,6079180,0
1,49,77,1,1,59000000,6131207,0
1,49,77,1,1,59500000,6183169,0
1,49,77,1,1,60000000,6235106,0
1,49,77,1,1,60500000,6287095,0
1,49,77,1,1,61000000,6339039,0
1,49,77,1,1,61500000,6391028,0
1,49,77,1,1,62000000,6442937,0
1,49,77,1,1,62500000,6494827,0
1,49,77,1,1,63000000,6546769,0
1,49,77,1,1,63500000,6598736,0
1,49,77,1,1,64000000,6650687,0
1,49,77,1,1,64500000,6702585,0
1,49,77,1,1,65000000,6754530,0
1,49,77,1,1,65500000,6806450,0
1,49,77,1,1,66000000,6858401,0
1,49,77,1,1,66500000,6910345,0
1,49,77,1,1,67000000,6962255,0
1,49,77,1,1,67500000,7014165,0
1,49,77,1,1,68000000,7066137,0
1,49,77,1,1,68500000,7118124,0
1,49,77,1,1,69000000,7170040,0
1,49,77,1,1,69500000,7221991,0
1,49,77,1,1,70000000,7273859,0
1,49,77,1,1,70500000,7325771,0
1,49,77,1,1,71000000,7377672,0
1,49,77,1,1,71500000,7429567,0
1,49,77,1,1,72000000,7481447,0
1,49,77,1,1,72500000,7533350,0
1,49,77,1,1,73000000,7585237,0
1,49,77,1,1,73500000,7637132,0
1,49,77,1,1,74000000,7689004,0
1,49,77,1,1,74500000,7740905,0
1,49,77,1,1,75000000,7792817,0
1,49,77,1,1,75500000,7844737,0
1,49,77,1,1,76000000,7896697,0
1,49,77,1,1,76500000,7948627,0
1,49,77,1,1,77000000,8000535,0
1,49,77,1,1,77500000,8052446,0
1,49,77,1,1,78000000,8104364,0
1,49,77,1,1,78500000,8156338,0
