context_length,alpha,beta,adapt,pretrain,chars_processed,time_microsec,bpc
1,49,77,0,1,0,16853393,4.64968
1,49,77,0,1,10000000,69165086,4.84236
1,49,77,0,1,20000000,121599268,4.84954
1,49,77,0,1,30000000,173931750,4.85006
1,49,77,0,1,40000000,226322246,4.8524
1,49,77,0,1,50000000,278665691,4.85067
1,49,77,0,1,60000000,331023405,4.85013
1,49,77,0,1,70000000,383397852,4.85158
1,49,77,0,1,80000000,435843231,4.85335
1,49,77,0,1,90000000,488303595,4.85547
2,49,77,0,1,0,17163180,4.64968
2,49,77,0,1,10000000,87156555,4.63562
2,49,77,0,1,20000000,157439791,4.71989
2,49,77,0,1,30000000,227875263,4.76046
2,49,77,0,1,40000000,298399327,4.77658
2,49,77,0,1,50000000,368923627,4.78904
2,49,77,0,1,60000000,439497243,4.79886
2,49,77,0,1,70000000,510075295,4.80425
2,49,77,0,1,80000000,580758826,4.8096
2,49,77,0,1,90000000,651861316,4.81366
3,49,77,0,1,0,16801280,4.64968
3,49,77,0,1,10000000,102918491,3.79714
3,49,77,0,1,20000000,190051365,4.11471
3,49,77,0,1,30000000,277640570,4.25319
3,49,77,0,1,40000000,365510905,4.35031
3,49,77,0,1,50000000,453122671,4.41163
3,49,77,0,1,60000000,540818251,4.43293
3,49,77,0,1,70000000,629103375,4.48769
3,49,77,0,1,80000000,717007725,4.51957
3,49,77,0,1,90000000,805072629,4.54767
4,49,77,0,1,0,16802696,4.64968
4,49,77,0,1,10000000,114730041,2.83217
4,49,77,0,1,20000000,214922878,3.16501
4,49,77,0,1,30000000,315598546,3.35231
4,49,77,0,1,40000000,417758570,3.49425
4,49,77,0,1,50000000,520046198,3.61593
4,49,77,0,1,60000000,622795858,3.66044
4,49,77,0,1,70000000,725580676,3.76322
4,49,77,0,1,80000000,828626104,3.81469
4,49,77,0,1,90000000,931987381,3.86976
5,49,77,0,1,0,16806650,4.64968
5,49,77,0,1,10000000,127376840,2.31092
5,49,77,0,1,20000000,239514901,2.50373
5,49,77,0,1,30000000,352093508,2.6202
5,49,77,0,1,40000000,466865859,2.74269
5,49,77,0,1,50000000,582056191,2.85043
5,49,77,0,1,60000000,698857351,2.89831
5,49,77,0,1,70000000,815621991,2.99005
5,49,77,0,1,80000000,932611726,3.05117
5,49,77,0,1,90000000,1050160110,3.11143
6,49,77,0,1,0,16799928,4.64968
6,49,77,0,1,10000000,136696807,2.07076
6,49,77,0,1,20000000,262016798,2.16144
6,49,77,0,1,30000000,386292548,2.21595
6,49,77,0,1,40000000,511223208,2.29133
6,49,77,0,1,50000000,637626798,2.36704
6,49,77,0,1,60000000,765295084,2.39217
6,49,77,0,1,70000000,894440373,2.47034
6,49,77,0,1,80000000,1023977081,2.50254
6,49,77,0,1,90000000,1154332531,2.55197
7,49,77,0,1,0,16804576,4.64968
7,49,77,0,1,10000000,144572346,1.99034
7,49,77,0,1,20000000,279001907,1.99658
7,49,77,0,1,30000000,416010811,2.00874
7,49,77,0,1,40000000,554983943,2.03864
7,49,77,0,1,50000000,693011264,2.08027
7,49,77,0,1,60000000,832163125,2.09234
7,49,77,0,1,70000000,971245711,2.1457
7,49,77,0,1,80000000,1110776385,2.16362
7,49,77,0,1,90000000,1251302831,2.19232
8,49,77,0,1,0,16803712,4.64968
8,49,77,0,1,10000000,151119231,1.98093
8,49,77,0,1,20000000,293247565,1.94412
8,49,77,0,1,30000000,437348108,1.92108
8,49,77,0,1,40000000,582019445,1.92459
8,49,77,0,1,50000000,728127291,1.93681
8,49,77,0,1,60000000,876364130,1.93532
8,49,77,0,1,70000000,1024847481,1.96978
8,49,77,0,1,80000000,1174160500,1.97339
8,49,77,0,1,90000000,1324270682,1.984
9,49,77,0,1,0,16799077,4.64968
9,49,77,0,1,10000000,156870515,1.99809
9,49,77,0,1,20000000,304819160,1.93583
9,49,77,0,1,30000000,457561391,1.89423
9,49,77,0,1,40000000,612590456,1.88379
9,49,77,0,1,50000000,768614449,1.88125
